method,dest_type
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,bcast
ARP,bcast
IP,unicast
IPv6,unicast
IPv6,unicast
IP,unicast
IP,unicast
IP,bcast
ARP,bcast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,bcast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
LLC,bcast
IP,bcast
IP,unicast
IPv6,unicast
IP,unicast
IP,unicast
ARP,bcast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,bcast
IP,bcast
IP,bcast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IPv6,unicast
ARP,bcast
IP,bcast
IP,bcast
ARP,bcast
ARP,unicast
ARP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,bcast
IP,unicast
IP,unicast
IP,unicast
IPv6,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
ARP,bcast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
ARP,bcast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,bcast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,bcast
IP,unicast
IP,unicast
IP,bcast
IP,bcast
IP,bcast
IP,unicast
IP,unicast
IP,bcast
IP,bcast
IP,bcast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
ARP,bcast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
ARP,bcast
IP,bcast
IP,bcast
ARP,bcast
IP,unicast
IPv6,unicast
IP,unicast
IPv6,unicast
LLC,bcast
IPv6,unicast
IPv6,unicast
IP,unicast
IPv6,unicast
IP,bcast
IP,unicast
IPv6,unicast
ARP,bcast
IPv6,unicast
IP,unicast
IPv6,unicast
IP,unicast
IPv6,unicast
IP,unicast
IPv6,unicast
IP,unicast
IP,unicast
IPv6,unicast
IPv6,unicast
ARP,bcast
ARP,bcast
IP,unicast
IPv6,unicast
ARP,bcast
IPv6,unicast
IP,unicast
IP,unicast
IP,unicast
IP,unicast
