"","dst","latitud","longitud","index"
"1862567","101.4.112.90",34.7725,113.7266,1862567
"18625671","101.4.112.93",34.7725,113.7266,1862567
"18625672","101.4.113.110",34.7725,113.7266,1862567
"18625673","101.4.114.169",34.7725,113.7266,1862567
"18625674","101.4.114.221",34.7725,113.7266,1862567
"18625675","101.4.114.58",34.7725,113.7266,1862567
"18625676","101.4.115.254",34.7725,113.7266,1862567
"18625677","101.4.117.149",34.7725,113.7266,1862567
"18625678","101.4.117.50",34.7725,113.7266,1862567
"18625679","101.4.117.81",34.7725,113.7266,1862567
"186256710","101.4.118.121",34.7725,113.7266,1862567
"2145158","128.139.191.69",31.5,34.75,2145158
"2148718","129.250.2.12",37.751,-97.822,2148718
"2148726","129.250.2.177",37.751,-97.822,2148726
"21487261","129.250.2.202",37.751,-97.822,2148726
"21487262","129.250.2.219",37.751,-97.822,2148726
"2148735","129.250.3.232",37.751,-97.822,2148735
"2148727","129.250.3.40",37.751,-97.822,2148727
"21487271","129.250.3.61",37.751,-97.822,2148727
"2148736","129.250.4.13",37.751,-97.822,2148736
"21487361","129.250.4.20",37.751,-97.822,2148736
"2148737","129.250.4.88",37.751,-97.822,2148737
"2148753","129.250.6.30",37.751,-97.822,2148753
"2148762","129.250.7.69",37.751,-97.822,2148762
"2147238","129.67.242.154",51.7155,-1.2926,2147238
"21472381","129.67.242.155",51.7155,-1.2926,2147238
"2150485","130.117.0.122",47,8,2150485
"21504851","130.117.0.142",47,8,2150485
"21504852","130.117.0.2",47,8,2150485
"2150493","130.117.1.117",47,8,2150493
"2150486","130.117.1.14",47,8,2150486
"2150529","130.117.51.42",47,8,2150529
"2158031","132.66.11.168",32.0678,34.7647,2158031
"21580311","132.66.4.254",32.0678,34.7647,2158031
"2160515","133.3.250.141",35.69,139.69,2160515
"2164604","134.159.61.25",-33.494,143.2104,2164604
"2210709","146.97.33.5",51.4964,-0.1224,2210709
"22107091","146.97.33.62",51.4964,-0.1224,2210709
"22107092","146.97.35.193",51.4964,-0.1224,2210709
"22107093","146.97.37.194",51.4964,-0.1224,2210709
"2231923","149.14.146.194",51.4625,0.1076,2231923
"2232258","149.29.9.10",37.751,-97.822,2232258
"2230885","149.3.181.65",43.1479,12.1097,2230885
"2236587","150.99.78.104",35.69,139.69,2236587
"22365871","150.99.90.56",35.69,139.69,2236587
"2275132","154.54.24.145",37.751,-97.822,2275132
"22751321","154.54.24.221",37.751,-97.822,2275132
"22751322","154.54.28.49",37.751,-97.822,2275132
"22751323","154.54.30.186",37.751,-97.822,2275132
"2275134","154.54.37.42",37.751,-97.822,2275134
"2275145","154.54.40.105",37.751,-97.822,2275145
"22751451","154.54.40.109",37.751,-97.822,2275145
"22751452","154.54.42.86",37.751,-97.822,2275145
