dst,rtt,ttl
192.168.0.1,0.4597659111022949,1
192.168.0.1,0.05984163284301758,1
192.168.0.1,0.06778454780578613,1
192.168.0.1,0.06070899963378906,1
192.168.0.1,0.06264686584472656,1
192.168.0.1,0.060353994369506836,1
NA,NA,1
192.168.0.1,0.09202980995178223,1
NA,NA,1
192.168.0.1,0.07599806785583496,1
NA,NA,1
192.168.0.1,0.1402599811553955,1
NA,NA,1
192.168.0.1,0.07216787338256836,1
192.168.0.1,0.05980944633483887,1
NA,NA,1
192.168.0.1,0.11994600296020508,1
NA,NA,1
192.168.0.1,0.07591795921325684,1
NA,NA,1
192.168.0.1,0.0882408618927002,1
NA,NA,1
192.168.0.1,0.07593297958374023,1
NA,NA,1
192.168.0.1,0.12015700340270996,1
NA,NA,1
192.168.0.1,0.1001889705657959,1
NA,NA,1
192.168.0.1,0.07632184028625488,1
192.168.0.1,0.06754279136657715,1
NA,NA,1
192.168.0.1,0.10822725296020508,1
10.0.0.2,0.04783010482788086,2
10.0.0.2,0.05177760124206543,2
10.0.0.2,0.052016258239746094,2
10.0.0.2,0.05153012275695801,2
10.0.0.2,0.06006932258605957,2
10.0.0.2,0.04393148422241211,2
10.0.0.2,0.05368971824645996,2
10.0.0.2,0.05765390396118164,2
10.0.0.2,0.04790520668029785,2
10.0.0.2,0.059958457946777344,2
10.0.0.2,0.04585862159729004,2
10.0.0.2,0.06175422668457031,2
10.0.0.2,0.05188298225402832,2
10.0.0.2,0.060235023498535156,2
10.0.0.2,0.04722309112548828,2
10.0.0.2,0.03970503807067871,2
10.0.0.2,0.04791426658630371,2
10.0.0.2,0.07175779342651367,2
10.0.0.2,0.04787921905517578,2
10.0.0.2,0.047976016998291016,2
10.0.0.2,0.04780983924865723,2
10.0.0.2,0.05585932731628418,2
10.0.0.2,0.059865713119506836,2
10.0.0.2,0.05185747146606445,2
10.0.0.2,0.051767826080322266,2
10.0.0.2,0.055967092514038086,2
10.0.0.2,0.04391837120056152,2
10.0.0.2,0.05177187919616699,2
10.0.0.2,0.05235862731933594,2
10.0.0.2,0.054563045501708984,2
10.0.0.2,0.06395912170410156,2
10.0.0.2,0.07598137855529785,2
181.88.172.60,0.06772327423095703,3
181.88.172.60,0.0799398422241211,3
181.88.172.60,0.06359243392944336,3
181.88.172.60,0.07207989692687988,3
181.88.172.60,0.06384873390197754,3
181.88.172.60,0.06385254859924316,3
181.88.172.60,0.06795144081115723,3
181.88.172.60,0.06774640083312988,3
181.88.172.60,0.05988621711730957,3
181.88.172.60,0.09185099601745605,3
181.88.172.60,0.07576727867126465,3
181.88.172.60,0.07202601432800293,3
181.88.172.60,0.0757284164428711,3
181.88.172.60,0.07595634460449219,3
181.88.172.60,0.05979323387145996,3
181.88.172.60,0.06382489204406738,3
181.88.172.60,0.06791138648986816,3
181.88.172.60,0.05976152420043945,3
181.88.172.60,0.08756756782531738,3
181.88.172.60,0.09616756439208984,3
181.88.172.60,0.05986499786376953,3
181.88.172.60,0.09591865539550781,3
181.88.172.60,0.07572793960571289,3
181.88.172.60,0.08792686462402344,3
181.88.172.60,0.05973672866821289,3
181.88.172.60,0.07204937934875488,3
181.88.172.60,0.05975604057312012,3
181.88.172.60,0.05992531776428223,3
181.88.172.60,0.07564830780029297,3
181.88.172.60,0.07602071762084961,3
181.88.172.60,0.08375906944274902,3
181.88.172.60,0.06386327743530273,3
181.89.5.90,0.07977867126464844,4
181.89.5.90,0.059745073318481445,4
181.89.5.90,0.05993151664733887,4
181.89.5.90,0.1000208854675293,4
181.89.5.90,0.07183361053466797,4
181.89.5.90,0.07573866844177246,4
181.89.5.90,0.08785867691040039,4
181.89.5.90,0.07183456420898438,4
181.89.5.90,0.06399059295654297,4
181.89.5.90,0.055471181869506836,4
181.89.5.90,0.08006119728088379,4
181.89.5.90,0.0678262710571289,4
181.89.5.90,0.06792998313903809,4
181.89.5.90,0.07586336135864258,4
181.89.5.90,0.0718531608581543,4
181.89.5.90,0.07985639572143555,4
181.89.5.90,0.07184672355651855,4
181.89.5.90,0.06386232376098633,4
181.89.5.90,0.07175803184509277,4
181.89.5.90,0.06394147872924805,4
181.89.5.90,0.06366515159606934,4
181.89.5.90,0.06778860092163086,4
181.89.5.90,0.0881052017211914,4
181.89.5.90,0.0638427734375,4
181.89.5.90,0.07203841209411621,4
181.89.5.90,0.07959914207458496,4
181.89.5.90,0.06445884704589844,4
181.89.5.90,0.09936332702636719,4
181.89.5.90,0.06343960762023926,4
181.89.5.90,0.06808662414550781,4
181.89.5.90,0.05197477340698242,4
181.89.5.90,0.059877872467041016,4
181.88.80.210,0.06789040565490723,5
181.88.80.210,0.07573723793029785,5
181.88.80.210,0.07550311088562012,5
181.88.80.210,0.08002376556396484,5
181.88.80.210,0.059899330139160156,5
181.88.80.210,0.07999992370605469,5
181.88.80.210,0.07586956024169922,5
181.88.80.210,0.07985138893127441,5
181.88.80.210,0.09598898887634277,5
181.88.80.210,0.08768129348754883,5
181.88.80.210,0.08379292488098145,5
181.88.80.210,0.10389590263366699,5
181.88.80.210,0.0838923454284668,5
181.88.80.210,0.07576441764831543,5
181.88.80.210,0.07180285453796387,5
181.88.80.210,0.09197068214416504,5
181.88.80.210,0.0718836784362793,5
181.88.80.210,0.08782315254211426,5
181.88.80.210,0.08379054069519043,5
181.88.80.210,0.09977149963378906,5
181.88.80.210,0.08785653114318848,5
181.88.80.210,0.06790351867675781,5
181.88.80.210,0.07595157623291016,5
181.88.80.210,0.07982802391052246,5
181.88.80.210,0.08784818649291992,5
181.88.80.210,0.08773612976074219,5
181.88.80.210,0.09602928161621094,5
181.88.80.210,0.06772828102111816,5
181.88.80.210,0.06382918357849121,5
181.88.80.210,0.07185125350952148,5
181.88.80.210,0.06779789924621582,5
181.88.80.210,0.09174108505249023,5
185.70.203.48,0.0760197639465332,6
185.70.203.48,0.07572054862976074,6
185.70.203.48,0.08398127555847168,6
185.70.203.48,0.06772947311401367,6
185.70.203.48,0.0679159164428711,6
185.70.203.48,0.08010387420654297,6
185.70.203.48,0.06727933883666992,6
185.70.203.48,0.07995462417602539,6
185.70.203.48,0.06392598152160645,6
185.70.203.48,0.06402420997619629,6
185.70.203.48,0.07149958610534668,6
185.70.203.48,0.0721440315246582,6
185.70.203.48,0.0637056827545166,6
185.70.203.48,0.06400489807128906,6
185.70.203.48,0.0718226432800293,6
185.70.203.48,0.05984234809875488,6
185.70.203.48,0.05971693992614746,6
185.70.203.48,0.06803488731384277,6
185.70.203.48,0.06735420227050781,6
185.70.203.48,0.07205939292907715,6
185.70.203.48,0.0718531608581543,6
185.70.203.48,0.0799405574798584,6
185.70.203.48,0.06787943840026855,6
185.70.203.48,0.07161664962768555,6
185.70.203.48,0.07581543922424316,6
185.70.203.48,0.08007049560546875,6
185.70.203.48,0.11983704566955566,6
185.70.203.48,0.07585835456848145,6
185.70.203.48,0.0639505386352539,6
185.70.203.48,0.07187414169311523,6
185.70.203.48,0.07168745994567871,6
185.70.203.48,0.07994532585144043,6
195.22.199.177,0.32764101028442383,7
195.22.199.177,0.192460298538208,7
195.22.199.177,0.20334243774414062,7
195.22.199.177,0.19604253768920898,7
195.22.199.177,0.19558978080749512,7
195.22.199.177,0.21180176734924316,7
195.22.199.177,0.19985246658325195,7
195.22.199.177,0.1997847557067871,7
195.22.199.177,0.21184778213500977,7
195.22.199.177,0.3478219509124756,7
195.22.199.177,0.19994902610778809,7
