dst,rtt,ttl
192.168.0.1,0.13939237594604492,1
192.168.0.1,0.06968021392822266,1
192.168.0.1,0.05864572525024414,1
192.168.0.1,0.06563472747802734,1
192.168.0.1,0.054698944091796875,1
192.168.0.1,0.04998469352722168,1
192.168.0.1,0.05429482460021973,1
192.168.0.1,0.05407214164733887,1
192.168.0.1,0.06694173812866211,1
192.168.0.1,0.0659170150756836,1
192.168.0.1,0.06195831298828125,1
192.168.0.1,0.06594300270080566,1
192.168.0.1,0.0621342658996582,1
192.168.0.1,0.07419872283935547,1
192.168.0.1,0.07461094856262207,1
192.168.0.1,0.049860477447509766,1
192.168.0.1,0.05413556098937988,1
192.168.0.1,0.054303646087646484,1
192.168.0.1,0.04565596580505371,1
192.168.0.1,0.0740814208984375,1
192.168.0.1,0.049849748611450195,1
192.168.0.1,0.06609320640563965,1
192.168.0.1,0.06944036483764648,1
192.168.0.1,0.057470083236694336,1
192.168.0.1,0.0546419620513916,1
192.168.0.1,0.06985712051391602,1
192.168.0.1,0.058255910873413086,1
192.168.0.1,0.06601309776306152,1
192.168.0.1,0.06256628036499023,1
192.168.0.1,0.049840688705444336,1
192.168.0.1,0.05813241004943848,1
192.168.0.1,0.04567861557006836,1
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
200.89.165.222,0.07028865814208984,5
200.89.165.222,0.06536078453063965,5
200.89.165.222,0.05943560600280762,5
200.89.165.222,0.06740784645080566,5
200.89.165.222,0.09023642539978027,5
200.89.165.222,0.061948299407958984,5
200.89.165.222,0.08502078056335449,5
200.89.165.222,0.05966019630432129,5
200.89.165.222,0.0750424861907959,5
200.89.165.222,0.07019662857055664,5
200.89.165.222,0.06600022315979004,5
200.89.165.222,0.10813665390014648,5
200.89.165.222,0.15366888046264648,5
200.89.165.222,0.11760354042053223,5
200.89.165.222,0.07751178741455078,5
200.89.165.222,0.10311675071716309,5
NA,NA,5
200.89.165.222,0.18952250480651855,5
200.89.165.222,0.3351254463195801,5
200.89.165.222,0.4273264408111572,5
200.89.165.222,0.2193307876586914,5
200.89.165.222,0.05832529067993164,5
200.89.165.222,0.06589865684509277,5
200.89.165.222,0.07015776634216309,5
200.89.165.222,0.058318376541137695,5
200.89.165.222,0.07775545120239258,5
200.89.165.222,0.07003641128540039,5
200.89.165.222,0.05933713912963867,5
200.89.165.222,0.061695098876953125,5
200.89.165.222,0.05329751968383789,5
200.89.165.222,0.06659626960754395,5
200.89.165.222,0.09453630447387695,5
190.216.88.33,0.07815265655517578,6
190.216.88.33,0.06056499481201172,6
190.216.88.33,0.057451725006103516,6
190.216.88.33,0.22212505340576172,6
190.216.88.33,0.2187483310699463,6
190.216.88.33,0.06606411933898926,6
190.216.88.33,0.05361795425415039,6
190.216.88.33,0.1076967716217041,6
190.216.88.33,0.06501460075378418,6
190.216.88.33,0.07002925872802734,6
190.216.88.33,0.0499570369720459,6
190.216.88.33,0.058226585388183594,6
190.216.88.33,0.06640362739562988,6
190.216.88.33,0.058144330978393555,6
190.216.88.33,0.06656742095947266,6
190.216.88.33,0.27350640296936035,6
190.216.88.33,0.16690707206726074,6
190.216.88.33,0.06233692169189453,6
190.216.88.33,0.07806229591369629,6
190.216.88.33,0.07453322410583496,6
190.216.88.33,0.1662733554840088,6
190.216.88.33,0.05759787559509277,6
190.216.88.33,0.07451677322387695,6
190.216.88.33,0.06602287292480469,6
190.216.88.33,0.15395712852478027,6
190.216.88.33,0.11004042625427246,6
190.216.88.33,0.06577467918395996,6
190.216.88.33,0.1661853790283203,6
190.216.88.33,0.1384282112121582,6
190.216.88.33,0.058219194412231445,6
190.216.88.33,0.06987118721008301,6
190.216.88.33,0.05023765563964844,6
67.17.99.233,0.18209600448608398,7
67.17.99.233,0.2037496566772461,7
67.17.99.233,0.38989996910095215,7
67.17.99.233,0.19120049476623535,7
67.17.99.233,0.23955750465393066,7
67.17.99.233,0.31366991996765137,7
67.17.99.233,0.6468865871429443,7
67.17.99.233,0.8951361179351807,7
67.17.99.233,0.6546511650085449,7
67.17.99.233,0.5836236476898193,7
67.17.99.233,0.30225658416748047,7
67.17.99.233,0.2554483413696289,7
67.17.99.233,0.23422622680664062,7
67.17.99.233,0.342714786529541,7
67.17.99.233,0.6782238483428955,7
67.17.99.233,0.8632922172546387,7
67.17.99.233,0.55448317527771,7
67.17.99.233,0.5185418128967285,7
67.17.99.233,0.7570443153381348,7
67.17.99.233,0.28226804733276367,7
67.17.99.233,0.24989748001098633,7
67.17.99.233,0.1835312843322754,7
67.17.99.233,0.2502744197845459,7
67.17.99.233,0.22603893280029297,7
67.17.99.233,0.2373659610748291,7
67.17.99.233,0.2674295902252197,7
67.17.99.233,0.29128193855285645,7
67.17.99.233,0.3105158805847168,7
67.17.99.233,0.27397608757019043,7
67.17.99.233,0.2998828887939453,7
67.17.99.233,0.41105079650878906,7
67.17.99.233,0.6954500675201416,7
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
4.69.207.33,0.6739363670349121,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
4.68.127.54,0.45842528343200684,10
4.68.127.54,0.44347667694091797,10
4.68.127.54,0.36639904975891113,10
4.69.207.33,0.210526704788208,10
