dst,rtt,ttl
192.168.0.1,0.1211709976196289,1
192.168.0.1,0.0662832260131836,1
192.168.0.1,0.05793619155883789,1
192.168.0.1,0.05175209045410156,1
192.168.0.1,0.051058292388916016,1
192.168.0.1,0.06378722190856934,1
192.168.0.1,0.055425167083740234,1
192.168.0.1,0.05378890037536621,1
192.168.0.1,0.05437111854553223,1
192.168.0.1,0.06570720672607422,1
192.168.0.1,0.062360286712646484,1
192.168.0.1,0.057821035385131836,1
192.168.0.1,0.05046534538269043,1
192.168.0.1,0.05036449432373047,1
192.168.0.1,0.04989361763000488,1
192.168.0.1,0.040964365005493164,1
192.168.0.1,0.062096357345581055,1
192.168.0.1,0.0866081714630127,1
192.168.0.1,0.05772686004638672,1
192.168.0.1,0.057930946350097656,1
192.168.0.1,0.05025339126586914,1
192.168.0.1,0.07446670532226562,1
192.168.0.1,0.0741574764251709,1
192.168.0.1,0.06589341163635254,1
192.168.0.1,0.07428336143493652,1
192.168.0.1,0.05811429023742676,1
192.168.0.1,0.0781714916229248,1
192.168.0.1,0.053821563720703125,1
192.168.0.1,0.06219625473022461,1
192.168.0.1,0.050382137298583984,1
192.168.0.1,0.06222653388977051,1
192.168.0.1,0.07396888732910156,1
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
200.89.165.250,0.1261284351348877,5
200.89.165.250,0.09445500373840332,5
200.89.165.250,0.07453131675720215,5
200.89.165.250,0.06622934341430664,5
200.89.165.250,0.0861973762512207,5
200.89.165.250,0.062253713607788086,5
200.89.165.250,0.07017207145690918,5
200.89.165.250,0.07810735702514648,5
200.89.165.250,0.07429051399230957,5
200.89.165.250,0.07442188262939453,5
200.89.165.250,0.07022285461425781,5
200.89.165.250,0.05380821228027344,5
200.89.165.250,0.06268906593322754,5
200.89.165.250,0.07029914855957031,5
200.89.165.250,0.0736839771270752,5
200.89.165.250,0.08239936828613281,5
200.89.165.250,0.05778002738952637,5
185.70.203.32,0.06602907180786133,6
185.70.203.32,0.04582810401916504,6
185.70.203.32,0.07451963424682617,6
185.70.203.32,0.07015204429626465,6
185.70.203.32,0.06952595710754395,6
185.70.203.32,0.07439064979553223,6
185.70.203.32,0.06663155555725098,6
185.70.203.32,0.07000541687011719,6
185.70.203.32,0.07816696166992188,6
185.70.203.32,0.06995105743408203,6
185.70.203.32,0.058144330978393555,6
185.70.203.32,0.057478904724121094,6
185.70.203.32,0.05831313133239746,6
185.70.203.32,0.05444502830505371,6
185.70.203.32,0.07412075996398926,6
185.70.203.32,0.06995820999145508,6
185.70.203.32,0.08239531517028809,6
185.70.203.32,0.08976364135742188,6
185.70.203.32,0.0542140007019043,6
185.70.203.32,0.08128237724304199,6
185.70.203.32,0.06642341613769531,6
185.70.203.32,0.062131404876708984,6
185.70.203.32,0.08611679077148438,6
185.70.203.32,0.07870912551879883,6
185.70.203.32,0.05358481407165527,6
185.70.203.32,0.06647253036499023,6
185.70.203.32,0.07770347595214844,6
185.70.203.32,0.0660865306854248,6
185.70.203.32,0.09431338310241699,6
185.70.203.32,0.06239604949951172,6
185.70.203.32,0.0822751522064209,6
185.70.203.32,0.07424426078796387,6
89.221.41.187,0.26207542419433594,7
89.221.41.187,0.32605719566345215,7
89.221.41.187,0.2903022766113281,7
89.221.41.187,0.29781484603881836,7
89.221.41.187,0.21848177909851074,7
89.221.41.187,0.2939779758453369,7
89.221.41.187,0.29418420791625977,7
89.221.41.187,0.43424129486083984,7
89.221.41.187,0.2946455478668213,7
89.221.41.187,0.31783318519592285,7
89.221.41.187,0.39399242401123047,7
89.221.41.187,0.398345947265625,7
89.221.41.187,0.41808247566223145,7
89.221.41.187,0.3150792121887207,7
89.221.41.187,0.282848596572876,7
89.221.41.187,0.2141563892364502,7
89.221.41.187,0.3146975040435791,7
89.221.41.187,0.19738316535949707,7
89.221.41.187,0.30210018157958984,7
89.221.41.187,0.3106374740600586,7
89.221.41.187,0.30989599227905273,7
89.221.41.187,0.49819087982177734,7
89.221.41.187,0.20194292068481445,7
89.221.41.187,0.20626401901245117,7
89.221.41.187,0.30675172805786133,7
89.221.41.187,0.3060436248779297,7
89.221.41.187,0.5140359401702881,7
89.221.41.187,0.4056892395019531,7
89.221.41.187,0.19549107551574707,7
89.221.41.187,0.20612406730651855,7
89.221.41.187,0.3061838150024414,7
89.221.41.187,0.3103022575378418,7
154.54.9.17,0.201707124710083,8
154.54.9.17,0.1907367706298828,8
154.54.9.17,0.2133626937866211,8
154.54.9.17,0.29890942573547363,8
154.54.9.17,0.2142162322998047,8
154.54.9.17,0.4021947383880615,8
154.54.9.17,0.28940367698669434,8
154.54.9.17,0.2195134162902832,8
154.54.9.17,0.3102304935455322,8
154.54.9.17,0.30589842796325684,8
154.54.9.17,0.29903483390808105,8
154.54.9.17,0.21444988250732422,8
154.54.9.17,0.30593395233154297,8
154.54.9.17,0.3019087314605713,8
154.54.9.17,0.4017925262451172,8
154.54.9.17,0.3142507076263428,8
154.54.9.17,0.28154611587524414,8
154.54.9.17,0.32662200927734375,8
154.54.9.17,0.2856166362762451,8
154.54.9.17,0.32208847999572754,8
154.54.9.17,0.2988779544830322,8
154.54.9.17,0.298386812210083,8
154.54.9.17,0.2143843173980713,8
154.54.9.17,0.1936485767364502,8
154.54.9.17,0.20604276657104492,8
154.54.9.17,0.19544243812561035,8
154.54.9.17,0.19042468070983887,8
154.54.9.17,0.22615456581115723,8
154.54.9.17,0.30578160285949707,8
154.54.9.17,0.3067183494567871,8
154.54.9.17,0.20213890075683594,8
154.54.9.17,0.19370722770690918,8
154.54.47.17,0.21027112007141113,9
154.54.47.17,0.3218860626220703,9
154.54.47.17,0.26212406158447266,9
154.54.47.17,0.23435425758361816,9
154.54.47.17,0.2953062057495117,9
154.54.47.17,0.21033191680908203,9
154.54.47.17,0.1973426342010498,9
154.54.47.17,0.3234825134277344,9
154.54.47.17,0.28229737281799316,9
154.54.47.17,0.2019360065460205,9
154.54.47.17,0.21946406364440918,9
154.54.47.17,0.19776439666748047,9
154.54.47.17,0.30965423583984375,9
154.54.47.17,0.4155724048614502,9
154.54.47.17,0.31146836280822754,9
154.54.47.17,0.2978043556213379,9
154.54.47.17,0.29400157928466797,9
154.54.47.17,0.31560730934143066,9
154.54.47.17,0.2134714126586914,9
154.54.47.17,0.2860996723175049,9
154.54.47.17,0.2140212059020996,9
154.54.47.17,0.3147733211517334,9
154.54.47.17,0.2898585796356201,9
154.54.47.17,0.3220374584197998,9
154.54.47.17,0.29954099655151367,9
154.54.47.17,0.3139326572418213,9
154.54.47.17,0.2858874797821045,9
154.54.47.17,0.31023287773132324,9
154.54.47.17,0.30606698989868164,9
154.54.47.17,0.3098905086517334,9
154.54.47.17,0.29375338554382324,9
154.54.47.17,0.19559693336486816,9
154.54.24.145,0.30997657775878906,10
154.54.24.145,0.3098585605621338,10
154.54.24.145,0.32332658767700195,10
154.54.24.145,0.21022486686706543,10
154.54.24.145,0.2785067558288574,10
154.54.24.145,0.31424808502197266,10
154.54.24.145,0.31803297996520996,10
154.54.24.145,0.29842352867126465,10
154.54.24.145,0.30185651779174805,10
154.54.24.145,0.20983004570007324,10
154.54.24.145,0.2819046974182129,10
154.54.24.145,0.21010804176330566,10
154.54.24.145,0.20611119270324707,10
154.54.24.145,0.410247802734375,10
154.54.24.145,0.4019453525543213,10
154.54.24.145,0.3103208541870117,10
154.54.24.145,0.2977316379547119,10
154.54.24.145,0.20586204528808594,10
154.54.24.145,0.2982950210571289,10
154.54.24.145,0.3137319087982178,10
154.54.24.145,0.2944462299346924,10
154.54.24.145,0.2179708480834961,10
154.54.24.145,0.20644426345825195,10
154.54.24.145,0.29801106452941895,10
154.54.24.145,0.2940826416015625,10
154.54.24.145,0.30584073066711426,10
154.54.24.145,0.32619738578796387,10
154.54.24.145,0.38620615005493164,10
154.54.24.145,0.19827485084533691,10
154.54.24.145,0.31000566482543945,10
154.54.24.145,0.20212054252624512,10
154.54.24.145,0.3179924488067627,10
154.54.7.157,0.298067569732666,11
154.54.7.157,0.31805968284606934,11
154.54.7.157,0.305769681930542,11
154.54.7.157,0.2943379878997803,11
154.54.7.157,0.2979238033294678,11
154.54.7.157,0.305941104888916,11
154.54.7.157,0.30619215965270996,11
154.54.7.157,0.3096280097961426,11
154.54.7.157,0.305908203125,11
154.54.7.157,0.32769131660461426,11
154.54.7.157,0.39023518562316895,11
154.54.7.157,0.3074181079864502,11
154.54.7.157,0.3220956325531006,11
154.54.7.157,0.27880334854125977,11
154.54.7.157,0.30988502502441406,11
154.54.7.157,0.23317813873291016,11
154.54.7.157,0.2796788215637207,11
154.54.7.157,0.40572190284729004,11
154.54.7.157,0.29851269721984863,11
154.54.7.157,0.32195091247558594,11
154.54.7.157,0.2942237854003906,11
154.54.7.157,0.3134891986846924,11
154.54.7.157,0.30833911895751953,11
154.54.7.157,0.20971393585205078,11
154.54.7.157,0.29456591606140137,11
154.54.7.157,0.30568432807922363,11
154.54.7.157,0.3022348880767822,11
154.54.7.157,0.4145021438598633,11
154.54.7.157,0.2891523838043213,11
154.54.7.157,0.19988608360290527,11
154.54.7.157,0.32215094566345215,11
154.54.7.157,0.297865629196167,11
154.54.40.105,0.3021883964538574,12
154.54.40.105,0.32610082626342773,12
154.54.40.105,0.303011417388916,12
154.54.40.105,0.30652546882629395,12
154.54.40.105,0.29365062713623047,12
154.54.40.105,0.302232027053833,12
154.54.40.105,0.310452938079834,12
154.54.40.105,0.3140430450439453,12
154.54.40.105,0.29373931884765625,12
154.54.40.105,0.3220517635345459,12
154.54.40.105,0.3857862949371338,12
NA,NA,12
154.54.40.105,0.27048730850219727,12
154.54.40.105,0.3020343780517578,12
154.54.40.105,0.29412293434143066,12
154.54.40.105,0.3019368648529053,12
154.54.40.105,0.31064414978027344,12
154.54.40.105,0.30192017555236816,12
154.54.40.105,0.3099830150604248,12
154.54.40.105,0.30554986000061035,12
154.54.40.105,0.3117671012878418,12
154.54.40.105,0.3056330680847168,12
154.54.40.105,0.3018500804901123,12
154.54.40.105,0.3025503158569336,12
154.54.40.105,0.31389904022216797,12
154.54.40.105,0.2909665107727051,12
154.54.40.105,0.31839776039123535,12
154.54.40.105,0.29767847061157227,12
154.54.40.105,0.3152964115142822,12
154.54.40.105,0.30169248580932617,12
154.54.40.105,0.3018054962158203,12
154.54.40.105,0.30608463287353516,12
154.54.30.186,0.39856457710266113,13
154.54.30.186,0.3057558536529541,13
154.54.30.186,0.3100135326385498,13
154.54.30.186,0.32640981674194336,13
154.54.30.186,0.30612921714782715,13
154.54.30.186,0.2620832920074463,13
154.54.30.186,0.33785247802734375,13
154.54.30.186,0.3066983222961426,13
154.54.30.186,0.30553221702575684,13
154.54.30.186,0.29805564880371094,13
154.54.30.186,0.3037455081939697,13
154.54.30.186,0.3220865726470947,13
154.54.30.186,0.3022348880767822,13
154.54.30.186,0.3061487674713135,13
154.54.30.186,0.30184435844421387,13
154.54.30.186,0.4441208839416504,13
154.54.30.186,0.30597805976867676,13
154.54.30.186,0.3223278522491455,13
154.54.30.186,0.6180002689361572,13
154.54.30.186,0.2898063659667969,13
154.54.30.186,0.30228424072265625,13
154.54.30.186,0.47956252098083496,13
154.54.30.186,0.29032111167907715,13
154.54.30.186,0.3140885829925537,13
154.54.30.186,0.40976905822753906,13
154.54.30.186,0.3023374080657959,13
154.54.30.186,0.31447386741638184,13
154.54.30.186,0.3097817897796631,13
154.54.30.186,0.39454078674316406,13
154.54.30.186,0.3137972354888916,13
154.54.30.186,0.325423002243042,13
154.54.30.186,0.29848194122314453,13
154.54.58.174,0.3976414203643799,14
154.54.58.174,0.3184547424316406,14
154.54.58.174,0.2855193614959717,14
154.54.58.174,0.41052961349487305,14
154.54.58.174,0.31363892555236816,14
154.54.58.174,0.31027770042419434,14
154.54.58.174,0.29514622688293457,14
154.54.58.174,0.31449079513549805,14
154.54.58.174,0.3139331340789795,14
154.54.58.174,0.417910099029541,14
154.54.58.174,0.3735363483428955,14
154.54.58.174,0.2779099941253662,14
154.54.58.174,0.3034226894378662,14
154.54.58.174,0.3498859405517578,14
154.54.58.174,0.2905387878417969,14
154.54.58.174,0.32200002670288086,14
154.54.58.174,0.2939026355743408,14
154.54.58.174,0.41413092613220215,14
154.54.58.174,0.29823803901672363,14
154.54.58.174,0.30229973793029785,14
154.54.58.174,0.3023238182067871,14
154.54.58.174,0.4093136787414551,14
154.54.58.174,0.31557130813598633,14
154.54.58.174,0.31836652755737305,14
154.54.58.174,0.4016604423522949,14
154.54.58.174,0.31528759002685547,14
154.54.58.174,0.2943902015686035,14
154.54.58.174,0.2981760501861572,14
154.54.58.174,0.30623388290405273,14
154.54.58.174,0.3176848888397217,14
154.54.58.174,0.39138031005859375,14
154.54.58.174,0.3023192882537842,14
154.54.37.42,0.3344275951385498,15
154.54.37.42,0.3102602958679199,15
154.54.37.42,0.2777841091156006,15
154.54.37.42,0.2863185405731201,15
154.54.37.42,0.3267951011657715,15
154.54.37.42,0.3012716770172119,15
154.54.37.42,0.29566478729248047,15
154.54.37.42,0.4357912540435791,15
154.54.37.42,0.3030683994293213,15
154.54.37.42,0.2916107177734375,15
154.54.37.42,0.3035280704498291,15
154.54.37.42,0.32370495796203613,15
154.54.37.42,0.29947519302368164,15
154.54.37.42,0.3034861087799072,15
154.54.37.42,0.3037126064300537,15
154.54.37.42,0.2798278331756592,15
154.54.37.42,0.33536839485168457,15
154.54.37.42,0.3236055374145508,15
154.54.37.42,0.28343963623046875,15
154.54.37.42,0.31541919708251953,15
154.54.37.42,0.3036787509918213,15
154.54.37.42,0.3076756000518799,15
154.54.37.42,0.31020140647888184,15
154.54.37.42,0.3150770664215088,15
154.54.37.42,0.3063514232635498,15
154.54.37.42,0.29022645950317383,15
154.54.37.42,0.31728363037109375,15
154.54.37.42,0.412036657333374,15
154.54.37.42,0.33014440536499023,15
154.54.37.42,0.3939833641052246,15
154.54.37.42,0.2981870174407959,15
154.54.37.42,0.29430675506591797,15
149.14.146.194,0.3140425682067871,16
149.14.146.194,0.2956411838531494,16
149.14.146.194,0.3182952404022217,16
149.14.146.194,0.29810595512390137,16
149.14.146.194,0.2895793914794922,16
149.14.146.194,0.4313948154449463,16
149.14.146.194,0.29062557220458984,16
149.14.146.194,0.41716456413269043,16
149.14.146.194,0.30811285972595215,16
149.14.146.194,0.3019258975982666,16
149.14.146.194,0.318645715713501,16
149.14.146.194,0.4016859531402588,16
149.14.146.194,0.2943274974822998,16
149.14.146.194,0.3059720993041992,16
149.14.146.194,0.41026759147644043,16
149.14.146.194,0.3036384582519531,16
149.14.146.194,0.3095993995666504,16
149.14.146.194,0.30637574195861816,16
149.14.146.194,0.3101527690887451,16
149.14.146.194,0.4022812843322754,16
149.14.146.194,0.3024885654449463,16
149.14.146.194,0.3379509449005127,16
149.14.146.194,0.37437891960144043,16
149.14.146.194,0.2975950241088867,16
149.14.146.194,0.2621152400970459,16
149.14.146.194,0.3502354621887207,16
149.14.146.194,0.3176875114440918,16
149.14.146.194,0.29869651794433594,16
149.14.146.194,0.29810452461242676,16
149.14.146.194,0.3139514923095703,16
149.14.146.194,0.40187525749206543,16
149.14.146.194,0.3078291416168213,16
155.232.1.40,0.506446361541748,17
155.232.1.40,0.5141150951385498,17
155.232.1.40,0.5054848194122314,17
155.232.1.40,0.5602574348449707,17
155.232.1.40,0.5221571922302246,17
155.232.1.40,0.5984389781951904,17
155.232.1.40,0.4058849811553955,17
155.232.1.40,0.6094629764556885,17
155.232.1.40,0.4196023941040039,17
155.232.1.40,0.5111167430877686,17
155.232.1.40,0.5119469165802002,17
155.232.1.40,0.6150248050689697,17
155.232.1.40,0.5061612129211426,17
155.232.1.40,0.5221631526947021,17
155.232.1.40,0.5021486282348633,17
155.232.1.40,0.39420175552368164,17
155.232.1.40,0.5199196338653564,17
155.232.1.40,0.5175261497497559,17
155.232.1.40,0.4109950065612793,17
155.232.1.40,0.502535343170166,17
155.232.1.40,0.5297014713287354,17
155.232.1.40,0.4900777339935303,17
155.232.1.40,0.5106222629547119,17
155.232.1.40,0.5179193019866943,17
155.232.1.40,0.49430179595947266,17
155.232.1.40,0.5460696220397949,17
155.232.1.40,0.5862040519714355,17
155.232.1.40,0.5056197643280029,17
155.232.1.40,0.5240516662597656,17
155.232.1.40,0.509901762008667,17
155.232.1.40,0.5104033946990967,17
155.232.1.40,0.4981560707092285,17
155.232.64.76,0.5141596794128418,18
155.232.64.76,0.5017762184143066,18
155.232.64.76,0.5225279331207275,18
155.232.64.76,0.5252442359924316,18
155.232.64.76,0.5995662212371826,18
155.232.64.76,0.49414587020874023,18
155.232.64.76,0.618858814239502,18
155.232.64.76,0.5139307975769043,18
155.232.64.76,0.5061767101287842,18
155.232.64.76,0.48714447021484375,18
155.232.64.76,0.6471993923187256,18
155.232.64.76,0.5057852268218994,18
155.232.64.76,0.5822510719299316,18
155.232.64.76,0.5021002292633057,18
155.232.64.76,0.5058808326721191,18
155.232.64.76,0.5156943798065186,18
155.232.64.76,0.5023684501647949,18
155.232.64.76,0.6298675537109375,18
155.232.64.76,0.4941565990447998,18
155.232.64.76,0.5061037540435791,18
155.232.64.76,0.5180976390838623,18
155.232.64.76,0.5101101398468018,18
155.232.64.76,0.5146360397338867,18
155.232.64.76,0.5014364719390869,18
155.232.64.76,0.4422125816345215,18
155.232.64.76,0.4787437915802002,18
155.232.64.76,0.5225701332092285,18
155.232.64.76,0.5059158802032471,18
155.232.64.76,0.4458324909210205,18
155.232.64.76,0.4662809371948242,18
155.232.64.76,0.6179907321929932,18
155.232.64.76,0.5116865634918213,18
155.232.1.66,0.6034684181213379,19
155.232.1.66,0.4539060592651367,19
155.232.1.66,0.46602797508239746,19
155.232.1.66,0.4504275321960449,19
155.232.1.66,0.474196195602417,19
155.232.1.66,0.5221235752105713,19
155.232.1.66,0.4889345169067383,19
155.232.1.66,0.5075957775115967,19
155.232.1.66,0.5141422748565674,19
155.232.1.66,0.4860384464263916,19
155.232.1.66,0.6506178379058838,19
155.232.1.66,0.4953024387359619,19
155.232.1.66,0.6262238025665283,19
155.232.1.66,0.5025062561035156,19
155.232.1.66,0.5179276466369629,19
155.232.1.66,0.5059211254119873,19
155.232.1.66,0.5062859058380127,19
155.232.1.66,0.510047435760498,19
155.232.1.66,0.5100276470184326,19
155.232.1.66,0.5020442008972168,19
155.232.1.66,0.5261602401733398,19
155.232.1.66,0.6058075428009033,19
155.232.1.66,0.5370445251464844,19
155.232.1.66,0.5261399745941162,19
155.232.1.66,0.5021367073059082,19
155.232.1.66,0.5061273574829102,19
155.232.1.66,0.6182582378387451,19
155.232.1.66,0.5182878971099854,19
155.232.1.66,0.5060830116271973,19
155.232.1.66,0.501300573348999,19
155.232.1.66,0.45203709602355957,19
155.232.1.66,0.4698059558868408,19
155.232.15.212,0.5101897716522217,20
155.232.15.212,0.46990394592285156,20
155.232.15.212,0.5539023876190186,20
155.232.15.212,0.506718635559082,20
155.232.15.212,0.5096080303192139,20
155.232.15.212,0.5118215084075928,20
155.232.15.212,0.47394776344299316,20
155.232.15.212,0.5577456951141357,20
