dst,rtt,ttl
192.168.0.1,0.12215089797973633,1
192.168.0.1,0.08184480667114258,1
192.168.0.1,0.05801558494567871,1
192.168.0.1,0.10966777801513672,1
192.168.0.1,0.04624629020690918,1
192.168.0.1,0.07372188568115234,1
192.168.0.1,0.053913116455078125,1
192.168.0.1,0.050287723541259766,1
192.168.0.1,0.05782461166381836,1
192.168.0.1,0.05421590805053711,1
192.168.0.1,0.06177878379821777,1
192.168.0.1,0.07025933265686035,1
192.168.0.1,0.061927080154418945,1
192.168.0.1,0.05808687210083008,1
192.168.0.1,0.06198883056640625,1
192.168.0.1,0.05818963050842285,1
192.168.0.1,0.07360029220581055,1
192.168.0.1,0.04614853858947754,1
192.168.0.1,0.05769038200378418,1
192.168.0.1,0.06549310684204102,1
192.168.0.1,0.0495145320892334,1
192.168.0.1,0.07008719444274902,1
192.168.0.1,0.06538963317871094,1
192.168.0.1,0.05041790008544922,1
192.168.0.1,0.06982159614562988,1
192.168.0.1,0.06605768203735352,1
192.168.0.1,0.07356691360473633,1
192.168.0.1,0.06643795967102051,1
192.168.0.1,0.061783552169799805,1
192.168.0.1,0.06992030143737793,1
192.168.0.1,0.05779266357421875,1
192.168.0.1,0.09018731117248535,1
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
200.89.165.250,0.08365821838378906,5
200.89.165.250,0.0738685131072998,5
200.89.165.250,0.07565093040466309,5
200.89.165.250,0.07797956466674805,5
200.89.165.250,0.0737144947052002,5
200.89.165.250,0.06978535652160645,5
200.89.165.250,0.06219649314880371,5
200.89.165.250,0.06586861610412598,5
200.89.165.250,0.06553053855895996,5
200.89.165.250,0.07017040252685547,5
200.89.165.250,0.062250375747680664,5
200.89.165.250,0.09003543853759766,5
200.89.165.250,0.06177830696105957,5
200.89.165.250,0.05395150184631348,5
200.89.165.250,0.062119483947753906,5
200.89.165.250,0.06147146224975586,5
200.89.165.250,0.06593894958496094,5
200.89.165.250,0.06198287010192871,5
200.89.165.250,0.0783534049987793,5
200.89.165.250,0.06198883056640625,5
200.89.165.250,0.06562256813049316,5
200.89.165.250,0.05822467803955078,5
200.89.165.250,0.09376716613769531,5
200.89.165.250,0.061913490295410156,5
200.89.165.250,0.08189749717712402,5
200.89.165.250,0.05785870552062988,5
200.89.165.250,0.07393312454223633,5
200.89.165.250,0.06224632263183594,5
200.89.165.250,0.07800054550170898,5
200.89.165.250,0.07817983627319336,5
200.89.165.250,0.10596489906311035,5
200.89.165.250,0.06624150276184082,5
190.216.88.33,0.08583354949951172,6
190.216.88.33,0.06252598762512207,6
190.216.88.33,0.1936488151550293,6
190.216.88.33,0.08195614814758301,6
190.216.88.33,0.05825233459472656,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
190.216.88.33,0.06585192680358887,6
190.216.88.33,0.0735936164855957,6
190.216.88.33,0.0903177261352539,6
190.216.88.33,0.07396745681762695,6
190.216.88.33,0.06966876983642578,6
190.216.88.33,0.07418131828308105,6
190.216.88.33,0.06199765205383301,6
190.216.88.33,0.058157920837402344,6
190.216.88.33,0.0698845386505127,6
190.216.88.33,0.0742330551147461,6
190.216.88.33,0.05374479293823242,6
190.216.88.33,0.07775521278381348,6
190.216.88.33,0.053768157958984375,6
190.216.88.33,0.08611559867858887,6
190.216.88.33,0.05783987045288086,6
190.216.88.33,0.06221747398376465,6
190.216.88.33,0.09011554718017578,6
190.216.88.33,0.0665590763092041,6
190.216.88.33,0.08920955657958984,6
190.216.88.33,0.0780942440032959,6
190.216.88.33,0.07386493682861328,6
67.17.99.233,0.20204591751098633,7
67.17.99.233,0.20161724090576172,7
67.17.99.233,0.20602202415466309,7
67.17.99.233,0.3064234256744385,7
67.17.99.233,0.22919154167175293,7
67.17.99.233,0.30997729301452637,7
67.17.99.233,0.2936220169067383,7
67.17.99.233,0.20601868629455566,7
67.17.99.233,0.302020788192749,7
67.17.99.233,0.31433749198913574,7
67.17.99.233,0.2057030200958252,7
67.17.99.233,0.30196404457092285,7
67.17.99.233,0.2981123924255371,7
67.17.99.233,0.30603909492492676,7
67.17.99.233,0.30193328857421875,7
67.17.99.233,0.20988821983337402,7
67.17.99.233,0.3060574531555176,7
67.17.99.233,0.2974705696105957,7
67.17.99.233,0.21060514450073242,7
67.17.99.233,0.20555663108825684,7
67.17.99.233,0.28971195220947266,7
67.17.99.233,0.3022310733795166,7
67.17.99.233,0.30199742317199707,7
67.17.99.233,0.21856021881103516,7
67.17.99.233,0.3060030937194824,7
