dst,rtt,ttl
192.168.0.1,0.08025288581848145,1
192.168.0.1,0.04281044006347656,1
192.168.0.1,0.04709291458129883,1
192.168.0.1,0.038660287857055664,1
192.168.0.1,0.03652215003967285,1
192.168.0.1,0.038197994232177734,1
NA,NA,1
192.168.0.1,0.03778839111328125,1
NA,NA,1
192.168.0.1,0.029827356338500977,1
NA,NA,1
192.168.0.1,0.05015110969543457,1
NA,NA,1
192.168.0.1,0.0507054328918457,1
NA,NA,1
192.168.0.1,0.046300649642944336,1
NA,NA,1
192.168.0.1,0.03889727592468262,1
NA,NA,1
192.168.0.1,0.03275752067565918,1
192.168.0.1,0.0383150577545166,1
NA,NA,1
192.168.0.1,0.038373470306396484,1
NA,NA,1
192.168.0.1,0.0471651554107666,1
NA,NA,1
192.168.0.1,0.05209755897521973,1
NA,NA,1
192.168.0.1,0.04253697395324707,1
NA,NA,1
192.168.0.1,0.0386195182800293,1
NA,NA,1
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
200.89.165.86,0.05021405220031738,5
200.89.165.86,0.05617666244506836,5
200.89.165.86,0.044985294342041016,5
200.89.165.86,0.05729961395263672,5
200.89.165.86,0.0557401180267334,5
200.89.165.86,0.05035591125488281,5
200.89.165.86,0.05634307861328125,5
200.89.165.86,0.055945396423339844,5
200.89.165.86,0.04853177070617676,5
200.89.165.86,0.059661865234375,5
200.89.165.86,0.05565619468688965,5
200.89.165.86,0.05534482002258301,5
200.89.165.86,0.05103421211242676,5
200.89.165.86,0.05200624465942383,5
200.89.165.86,0.06373977661132812,5
200.89.165.86,0.05645608901977539,5
200.89.165.86,0.05220460891723633,5
200.89.165.86,0.051779985427856445,5
200.89.165.86,0.0622706413269043,5
200.89.165.86,0.0501863956451416,5
200.89.165.86,0.0466005802154541,5
200.89.165.86,0.04506659507751465,5
