dst,rtt,ttl
192.168.0.1,0.08432745933532715,1
192.168.0.1,0.0477449893951416,1
192.168.0.1,0.04758501052856445,1
192.168.0.1,0.04655313491821289,1
192.168.0.1,0.03162789344787598,1
192.168.0.1,0.0397334098815918,1
NA,NA,1
192.168.0.1,0.047377586364746094,1
NA,NA,1
192.168.0.1,0.04064345359802246,1
NA,NA,1
192.168.0.1,0.03969526290893555,1
NA,NA,1
192.168.0.1,0.04390215873718262,1
NA,NA,1
192.168.0.1,0.03948688507080078,1
NA,NA,1
192.168.0.1,0.04341888427734375,1
NA,NA,1
192.168.0.1,0.04268383979797363,1
192.168.0.1,0.042406320571899414,1
NA,NA,1
192.168.0.1,0.03906989097595215,1
NA,NA,1
192.168.0.1,0.046712398529052734,1
NA,NA,1
192.168.0.1,0.031194686889648438,1
NA,NA,1
192.168.0.1,0.03946065902709961,1
NA,NA,1
192.168.0.1,0.04294300079345703,1
NA,NA,1
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
200.89.165.86,0.050536155700683594,5
200.89.165.86,0.050699472427368164,5
200.89.165.86,0.04697561264038086,5
200.89.165.86,0.05527186393737793,5
200.89.165.86,0.05514073371887207,5
200.89.165.86,0.058929443359375,5
200.89.165.86,0.05084943771362305,5
200.89.165.86,0.05444526672363281,5
200.89.165.86,0.055086374282836914,5
200.89.165.86,0.046779632568359375,5
200.89.165.86,0.050656795501708984,5
200.89.165.86,0.06269550323486328,5
200.89.165.86,0.062408447265625,5
200.89.165.86,0.058899641036987305,5
200.89.165.86,0.05907726287841797,5
200.89.165.86,0.05522418022155762,5
200.89.165.86,0.055101871490478516,5
200.89.165.86,0.0626676082611084,5
200.89.165.86,0.05928611755371094,5
200.89.165.86,0.05456829071044922,5
200.89.165.86,0.05525946617126465,5
200.89.165.86,0.05343055725097656,5
200.89.165.86,0.04708242416381836,5
200.89.165.86,0.046827077865600586,5
200.89.165.86,0.06295180320739746,5
200.89.165.86,0.054131269454956055,5
200.89.165.86,0.04684114456176758,5
200.89.165.86,0.05741405487060547,5
200.89.165.86,0.05118870735168457,5
200.89.165.86,0.04317522048950195,5
200.89.165.86,0.05476093292236328,5
200.89.165.86,0.05907034873962402,5
200.89.165.149,0.05126523971557617,6
200.89.165.149,0.052947282791137695,6
200.89.165.149,0.05131387710571289,6
200.89.165.149,0.09133267402648926,6
200.89.165.149,0.05467796325683594,6
200.89.165.149,0.06323862075805664,6
200.89.165.149,0.04638838768005371,6
200.89.165.149,0.046418190002441406,6
200.89.165.149,0.051361083984375,6
200.89.165.149,0.051183462142944336,6
200.89.165.149,0.04665803909301758,6
200.89.165.149,0.051113128662109375,6
200.89.165.149,0.057830095291137695,6
200.89.165.149,0.05097246170043945,6
200.89.165.149,0.05110883712768555,6
200.89.165.149,0.059241533279418945,6
200.89.165.149,0.05933570861816406,6
200.89.165.149,0.04838371276855469,6
200.89.165.149,0.06297421455383301,6
200.89.165.149,0.05133867263793945,6
200.89.165.149,0.04688739776611328,6
200.89.165.149,0.04674887657165527,6
200.89.165.149,0.05511307716369629,6
200.89.165.149,0.04700112342834473,6
200.89.165.149,0.05294513702392578,6
200.89.165.149,0.042272090911865234,6
200.89.165.149,0.05920290946960449,6
200.89.165.149,0.04723095893859863,6
200.89.165.149,0.055223703384399414,6
200.89.165.149,0.04686856269836426,6
200.89.165.149,0.054810523986816406,6
200.89.165.149,0.05880928039550781,6
200.89.165.5,0.05083632469177246,7
200.89.165.5,0.059234619140625,7
200.89.165.5,0.05121564865112305,7
200.89.165.5,0.05885148048400879,7
200.89.165.5,0.055197715759277344,7
200.89.165.5,0.05496621131896973,7
200.89.165.5,0.05926656723022461,7
200.89.165.5,0.0472416877746582,7
200.89.165.5,0.03708624839782715,7
200.89.165.5,0.046733856201171875,7
