dst,rtt,ttl
192.168.0.1,0.07787346839904785,1
192.168.0.1,0.042133331298828125,1
192.168.0.1,0.04239702224731445,1
192.168.0.1,0.04246068000793457,1
192.168.0.1,0.04001331329345703,1
192.168.0.1,0.04193305969238281,1
192.168.0.1,0.04790496826171875,1
192.168.0.1,0.04572606086730957,1
192.168.0.1,0.041910409927368164,1
192.168.0.1,0.062134504318237305,1
NA,NA,1
192.168.0.1,0.05194997787475586,1
NA,NA,1
192.168.0.1,0.051700592041015625,1
NA,NA,1
192.168.0.1,0.05408668518066406,1
NA,NA,1
192.168.0.1,0.04812288284301758,1
NA,NA,1
192.168.0.1,0.05512595176696777,1
NA,NA,1
192.168.0.1,0.04050040245056152,1
192.168.0.1,0.03427314758300781,1
NA,NA,1
192.168.0.1,0.04807472229003906,1
NA,NA,1
192.168.0.1,0.03637838363647461,1
NA,NA,1
192.168.0.1,0.04302573204040527,1
NA,NA,1
192.168.0.1,0.040236473083496094,1
NA,NA,1
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
200.89.165.86,0.12778401374816895,5
200.89.165.86,0.06940031051635742,5
200.89.165.86,0.04758906364440918,5
200.89.165.86,0.056020259857177734,5
200.89.165.86,0.05524849891662598,5
200.89.165.86,0.059389591217041016,5
200.89.165.86,0.0445246696472168,5
200.89.165.86,0.0677042007446289,5
200.89.165.86,0.05523490905761719,5
200.89.165.86,0.053630828857421875,5
200.89.165.86,0.06368136405944824,5
200.89.165.86,0.06387138366699219,5
200.89.165.86,0.04068613052368164,5
200.89.165.86,0.04762625694274902,5
200.89.165.86,0.05557131767272949,5
200.89.165.86,0.06551861763000488,5
200.89.165.86,0.06366753578186035,5
200.89.165.86,0.06393671035766602,5
200.89.165.86,0.06339621543884277,5
200.89.165.86,0.06377577781677246,5
200.89.165.86,0.05537080764770508,5
200.89.165.86,0.04774045944213867,5
200.89.165.86,0.04752349853515625,5
200.89.165.86,0.051859140396118164,5
200.89.165.86,0.04801654815673828,5
200.89.165.86,0.05548572540283203,5
200.89.165.86,0.047849416732788086,5
200.89.165.86,0.055822134017944336,5
200.89.165.86,0.0679633617401123,5
200.89.165.86,0.055890560150146484,5
200.89.165.86,0.059671640396118164,5
200.89.165.86,0.04790687561035156,5
200.89.165.149,0.047904014587402344,6
200.89.165.149,0.05266261100769043,6
200.89.165.149,0.05576968193054199,6
200.89.165.149,0.0491793155670166,6
200.89.165.149,0.042875051498413086,6
200.89.165.149,0.06784963607788086,6
200.89.165.149,0.05145716667175293,6
200.89.165.149,0.047647714614868164,6
200.89.165.149,0.0594792366027832,6
200.89.165.149,0.05959677696228027,6
200.89.165.149,0.05184578895568848,6
200.89.165.149,0.04724478721618652,6
200.89.165.149,0.05155038833618164,6
200.89.165.149,0.047740936279296875,6
200.89.165.149,0.05365920066833496,6
200.89.165.149,0.04938101768493652,6
200.89.165.149,0.04759860038757324,6
200.89.165.149,0.05989503860473633,6
200.89.165.149,0.05176377296447754,6
200.89.165.149,0.04796791076660156,6
200.89.165.149,0.05187201499938965,6
200.89.165.149,0.051563262939453125,6
200.89.165.149,0.047528982162475586,6
200.89.165.149,0.05201578140258789,6
200.89.165.149,0.0558314323425293,6
200.89.165.149,0.047859907150268555,6
200.89.165.149,0.055870771408081055,6
200.89.165.149,0.05135774612426758,6
200.89.165.149,0.047745466232299805,6
200.89.165.149,0.05588102340698242,6
200.89.165.149,0.051959991455078125,6
200.89.165.149,0.04757499694824219,6
200.89.165.5,0.043755531311035156,7
200.89.165.5,0.06380534172058105,7
200.89.165.5,0.05572032928466797,7
200.89.165.5,0.055910587310791016,7
200.89.165.5,0.05158710479736328,7
200.89.165.5,0.0548551082611084,7
200.89.165.5,0.05473470687866211,7
200.89.165.5,0.05598139762878418,7
200.89.165.5,0.06342434883117676,7
