dst,rtt,ttl
192.168.0.1,0.11101460456848145,1
192.168.0.1,0.0468747615814209,1
192.168.0.1,0.03722023963928223,1
192.168.0.1,0.042827606201171875,1
192.168.0.1,0.04565691947937012,1
192.168.0.1,0.04943346977233887,1
NA,NA,1
192.168.0.1,0.04694533348083496,1
NA,NA,1
192.168.0.1,0.09501218795776367,1
NA,NA,1
192.168.0.1,0.046865224838256836,1
NA,NA,1
192.168.0.1,0.04264664649963379,1
NA,NA,1
192.168.0.1,0.0549931526184082,1
NA,NA,1
192.168.0.1,0.04715156555175781,1
NA,NA,1
192.168.0.1,0.05496335029602051,1
192.168.0.1,0.04172992706298828,1
NA,NA,1
192.168.0.1,0.04690670967102051,1
NA,NA,1
192.168.0.1,0.035346031188964844,1
NA,NA,1
192.168.0.1,0.046988725662231445,1
NA,NA,1
192.168.0.1,0.04716801643371582,1
NA,NA,1
192.168.0.1,0.04677462577819824,1
NA,NA,1
10.0.0.2,0.06276345252990723,2
10.0.0.2,0.04589962959289551,2
10.0.0.2,0.05760478973388672,2
10.0.0.2,0.057303428649902344,2
10.0.0.2,0.05098676681518555,2
10.0.0.2,0.0494234561920166,2
10.0.0.2,0.04539060592651367,2
10.0.0.2,0.04657721519470215,2
10.0.0.2,0.05106806755065918,2
10.0.0.2,0.04560232162475586,2
10.0.0.2,0.04544472694396973,2
10.0.0.2,0.05339217185974121,2
10.0.0.2,0.03761410713195801,2
10.0.0.2,0.04945874214172363,2
10.0.0.2,0.04128623008728027,2
10.0.0.2,0.04694676399230957,2
10.0.0.2,0.05356240272521973,2
10.0.0.2,0.04567074775695801,2
10.0.0.2,0.049640655517578125,2
10.0.0.2,0.03707695007324219,2
10.0.0.2,0.047147274017333984,2
10.0.0.2,0.049062252044677734,2
10.0.0.2,0.04667973518371582,2
10.0.0.2,0.046672821044921875,2
10.0.0.2,0.042951345443725586,2
10.0.0.2,0.03720855712890625,2
10.0.0.2,0.042957305908203125,2
10.0.0.2,0.04156899452209473,2
10.0.0.2,0.04535675048828125,2
10.0.0.2,0.046988487243652344,2
10.0.0.2,0.037300825119018555,2
10.0.0.2,0.046898603439331055,2
181.88.172.60,0.06519460678100586,3
181.88.172.60,0.06731986999511719,3
181.88.172.60,0.08925867080688477,3
181.88.172.60,0.07891178131103516,3
181.88.172.60,0.08584761619567871,3
181.88.172.60,0.06912112236022949,3
181.88.172.60,0.07092595100402832,3
181.88.172.60,0.0816195011138916,3
181.88.172.60,0.06956672668457031,3
181.88.172.60,0.06975102424621582,3
181.88.172.60,0.0656576156616211,3
181.88.172.60,0.06546473503112793,3
181.88.172.60,0.06560349464416504,3
