dst,rtt,ttl
192.168.0.1,0.12151384353637695,1
192.168.0.1,0.03779482841491699,1
192.168.0.1,0.03786802291870117,1
192.168.0.1,0.03746986389160156,1
192.168.0.1,0.04707765579223633,1
192.168.0.1,0.041761159896850586,1
NA,NA,1
192.168.0.1,0.06319522857666016,1
NA,NA,1
192.168.0.1,0.09910154342651367,1
NA,NA,1
192.168.0.1,0.05899310111999512,1
NA,NA,1
192.168.0.1,0.04583239555358887,1
NA,NA,1
192.168.0.1,0.04599261283874512,1
NA,NA,1
192.168.0.1,0.046853065490722656,1
NA,NA,1
192.168.0.1,0.04685616493225098,1
NA,NA,1
192.168.0.1,0.05491161346435547,1
192.168.0.1,0.06704354286193848,1
NA,NA,1
192.168.0.1,0.04723834991455078,1
NA,NA,1
192.168.0.1,0.04708433151245117,1
NA,NA,1
192.168.0.1,0.045678138732910156,1
NA,NA,1
192.168.0.1,0.06336116790771484,1
NA,NA,1
10.0.0.2,0.05009126663208008,2
10.0.0.2,0.04157829284667969,2
10.0.0.2,0.041956424713134766,2
10.0.0.2,0.04540419578552246,2
10.0.0.2,0.046973228454589844,2
10.0.0.2,0.04563617706298828,2
10.0.0.2,0.04273080825805664,2
10.0.0.2,0.038881540298461914,2
10.0.0.2,0.04304027557373047,2
10.0.0.2,0.04574990272521973,2
10.0.0.2,0.05380988121032715,2
10.0.0.2,0.037489891052246094,2
10.0.0.2,0.03908562660217285,2
10.0.0.2,0.049353599548339844,2
10.0.0.2,0.04713249206542969,2
10.0.0.2,0.04668450355529785,2
10.0.0.2,0.04717087745666504,2
10.0.0.2,0.037943124771118164,2
10.0.0.2,0.0497584342956543,2
10.0.0.2,0.04177498817443848,2
10.0.0.2,0.03752899169921875,2
10.0.0.2,0.038903236389160156,2
10.0.0.2,0.04213070869445801,2
10.0.0.2,0.0416717529296875,2
10.0.0.2,0.04167032241821289,2
10.0.0.2,0.037886857986450195,2
10.0.0.2,0.049941301345825195,2
10.0.0.2,0.04544210433959961,2
10.0.0.2,0.04276156425476074,2
10.0.0.2,0.03745245933532715,2
10.0.0.2,0.046723127365112305,2
10.0.0.2,0.05115914344787598,2
181.88.172.60,0.07786130905151367,3
181.88.172.60,0.05729103088378906,3
181.88.172.60,0.06726765632629395,3
181.88.172.60,0.0702676773071289,3
181.88.172.60,0.057503461837768555,3
181.88.172.60,0.06714558601379395,3
181.88.172.60,0.06580257415771484,3
181.88.172.60,0.06592464447021484,3
181.88.172.60,0.06540822982788086,3
181.88.172.60,0.06698822975158691,3
181.88.172.60,0.06189370155334473,3
181.88.172.60,0.05368351936340332,3
181.88.172.60,0.06676483154296875,3
181.88.172.60,0.07099437713623047,3
181.88.172.60,0.06593632698059082,3
181.88.172.60,0.06578183174133301,3
181.88.172.60,0.06168007850646973,3
181.88.172.60,0.06660103797912598,3
181.88.172.60,0.06556367874145508,3
181.88.172.60,0.06174802780151367,3
181.88.172.60,0.08598589897155762,3
181.88.172.60,0.10167717933654785,3
181.88.172.60,0.12938284873962402,3
181.88.172.60,0.12307333946228027,3
181.88.172.60,0.061516523361206055,3
181.88.172.60,0.07111167907714844,3
181.88.172.60,0.06553030014038086,3
181.88.172.60,0.06967449188232422,3
181.88.172.60,0.06727218627929688,3
181.88.172.60,0.06653594970703125,3
181.88.172.60,0.06234550476074219,3
181.88.172.60,0.06575775146484375,3
181.89.5.92,0.05796957015991211,4
181.89.5.92,0.06579875946044922,4
181.89.5.92,0.07034707069396973,4
181.89.5.90,0.06952500343322754,4
181.89.5.90,0.06132841110229492,4
181.89.5.90,0.06750106811523438,4
181.89.5.90,0.0614316463470459,4
181.89.5.90,0.0658259391784668,4
181.89.5.90,0.06666350364685059,4
181.89.5.92,0.05740547180175781,4
181.89.5.92,0.07089591026306152,4
181.89.5.92,0.06178402900695801,4
181.89.5.92,0.05365633964538574,4
181.89.5.90,0.07121610641479492,4
181.89.5.90,0.07734060287475586,4
181.89.5.90,0.06705117225646973,4
181.89.5.90,0.06562352180480957,4
181.89.5.92,0.05747842788696289,4
181.89.5.92,0.07149410247802734,4
181.89.5.92,0.07386207580566406,4
181.89.5.92,0.06571722030639648,4
181.89.5.92,0.0709221363067627,4
181.89.5.92,0.06726527214050293,4
181.89.5.92,0.06589388847351074,4
181.89.5.92,0.07401037216186523,4
181.89.5.90,0.06198000907897949,4
181.89.5.90,0.06603288650512695,4
181.89.5.90,0.05760478973388672,4
181.89.5.90,0.061525821685791016,4
181.89.5.92,0.05533456802368164,4
181.89.5.92,0.06588935852050781,4
181.89.5.92,0.057709693908691406,4
181.88.111.26,0.06548380851745605,5
181.88.80.210,0.07144713401794434,5
181.88.80.210,0.06528043746948242,5
190.224.165.110,0.07157516479492188,5
181.88.111.23,0.06951498985290527,5
190.224.165.114,0.06599855422973633,5
181.88.80.238,0.061658382415771484,5
190.224.165.114,0.06145286560058594,5
190.224.165.114,0.062105417251586914,5
181.88.111.23,0.06575345993041992,5
181.88.80.210,0.07384824752807617,5
181.88.111.23,0.07380223274230957,5
190.224.165.110,0.05772686004638672,5
181.88.80.238,0.08942341804504395,5
190.224.165.114,0.06710505485534668,5
190.224.165.114,0.07141923904418945,5
181.88.111.26,0.07390642166137695,5
181.88.111.23,0.06984949111938477,5
181.88.80.210,0.06586551666259766,5
181.88.111.23,0.06596755981445312,5
181.88.80.210,0.07367491722106934,5
181.88.111.23,0.06616020202636719,5
181.88.80.210,0.06554293632507324,5
181.88.111.23,0.05791163444519043,5
181.88.111.23,0.07097935676574707,5
181.88.80.238,0.06191253662109375,5
190.224.165.114,0.06603479385375977,5
181.88.111.26,0.07371330261230469,5
181.88.80.238,0.057378530502319336,5
181.88.80.210,0.07889389991760254,5
181.88.80.210,0.07942700386047363,5
181.88.111.23,0.08980989456176758,5
185.70.203.48,0.08565950393676758,6
185.70.203.48,0.09804797172546387,6
185.70.203.48,0.10546231269836426,6
185.70.203.48,0.08734560012817383,6
185.70.203.48,0.0614774227142334,6
185.70.203.48,0.062215328216552734,6
185.70.203.48,0.07394695281982422,6
185.70.203.48,0.0653383731842041,6
185.70.203.48,0.07901239395141602,6
185.70.203.48,0.0537567138671875,6
185.70.203.48,0.07856321334838867,6
185.70.203.48,0.0668790340423584,6
185.70.203.48,0.05330824851989746,6
185.70.203.48,0.06288266181945801,6
185.70.203.48,0.07566213607788086,6
185.70.203.48,0.0693359375,6
185.70.203.48,0.06261563301086426,6
185.70.203.48,0.06725120544433594,6
185.70.203.48,0.09796452522277832,6
