dst,rtt,ttl
192.168.0.1,0.0947566032409668,1
192.168.0.1,0.05123734474182129,1
192.168.0.1,0.037612199783325195,1
192.168.0.1,0.04557919502258301,1
192.168.0.1,0.04301881790161133,1
192.168.0.1,0.03754687309265137,1
NA,NA,1
192.168.0.1,0.04365181922912598,1
NA,NA,1
192.168.0.1,0.03895068168640137,1
NA,NA,1
192.168.0.1,0.04191923141479492,1
NA,NA,1
192.168.0.1,0.04298710823059082,1
NA,NA,1
192.168.0.1,0.047389984130859375,1
NA,NA,1
192.168.0.1,0.045908212661743164,1
NA,NA,1
192.168.0.1,0.037474632263183594,1
NA,NA,1
192.168.0.1,0.04203009605407715,1
NA,NA,1
192.168.0.1,0.03755807876586914,1
192.168.0.1,0.047211408615112305,1
NA,NA,1
192.168.0.1,0.05089688301086426,1
NA,NA,1
192.168.0.1,0.039624691009521484,1
NA,NA,1
192.168.0.1,0.0387880802154541,1
NA,NA,1
10.0.0.2,0.04290056228637695,2
10.0.0.2,0.038796424865722656,2
10.0.0.2,0.06312227249145508,2
10.0.0.2,0.04163002967834473,2
10.0.0.2,0.04710793495178223,2
10.0.0.2,0.041716575622558594,2
10.0.0.2,0.045752525329589844,2
10.0.0.2,0.03789663314819336,2
10.0.0.2,0.045862436294555664,2
10.0.0.2,0.0375063419342041,2
10.0.0.2,0.04313778877258301,2
10.0.0.2,0.041747093200683594,2
10.0.0.2,0.04184913635253906,2
10.0.0.2,0.04981374740600586,2
10.0.0.2,0.04960918426513672,2
10.0.0.2,0.05094146728515625,2
10.0.0.2,0.0428466796875,2
10.0.0.2,0.0414731502532959,2
10.0.0.2,0.042057037353515625,2
10.0.0.2,0.04948830604553223,2
10.0.0.2,0.04279518127441406,2
10.0.0.2,0.04573655128479004,2
10.0.0.2,0.03777122497558594,2
10.0.0.2,0.045876264572143555,2
10.0.0.2,0.04185771942138672,2
10.0.0.2,0.04578733444213867,2
10.0.0.2,0.04557037353515625,2
10.0.0.2,0.03884720802307129,2
10.0.0.2,0.04699087142944336,2
10.0.0.2,0.04176044464111328,2
10.0.0.2,0.0471036434173584,2
10.0.0.2,0.049468040466308594,2
181.88.172.60,0.05783963203430176,3
181.88.172.60,0.057442426681518555,3
181.88.172.60,0.0592350959777832,3
181.88.172.60,0.05730605125427246,3
181.88.172.60,0.06715726852416992,3
181.88.172.60,0.0658576488494873,3
181.88.172.60,0.06168866157531738,3
181.88.172.60,0.0660555362701416,3
181.88.172.60,0.3613877296447754,3
181.88.172.60,0.06720161437988281,3
181.88.172.60,0.06608843803405762,3
181.88.172.60,0.07755470275878906,3
181.88.172.60,0.06184244155883789,3
181.88.172.60,0.061844587326049805,3
181.88.172.60,0.06559109687805176,3
181.88.172.60,0.06567549705505371,3
181.88.172.60,0.06344723701477051,3
181.88.172.60,0.08548188209533691,3
181.88.172.60,0.07494664192199707,3
181.88.172.60,0.07118964195251465,3
181.88.172.60,0.0660562515258789,3
181.88.172.60,0.05808305740356445,3
181.88.172.60,0.06978583335876465,3
181.88.172.60,0.06942200660705566,3
181.88.172.60,0.0874171257019043,3
181.88.172.60,0.06189370155334473,3
181.88.172.60,0.05801868438720703,3
181.88.172.60,0.06152939796447754,3
181.88.172.60,0.06604552268981934,3
181.88.172.60,0.0657806396484375,3
181.88.172.60,0.05421710014343262,3
181.88.172.60,0.06945633888244629,3
181.89.5.92,0.05368685722351074,4
181.89.5.90,0.058985233306884766,4
181.89.5.90,0.06670475006103516,4
181.89.5.90,0.0671083927154541,4
181.89.5.90,0.06564974784851074,4
181.89.5.92,0.05783867835998535,4
181.89.5.92,0.058678388595581055,4
181.89.5.92,0.0632627010345459,4
181.89.5.92,0.06992077827453613,4
181.89.5.90,0.06943893432617188,4
181.89.5.90,0.061936378479003906,4
181.89.5.90,0.06652617454528809,4
181.89.5.90,0.0670468807220459,4
181.89.5.90,0.057845354080200195,4
181.89.5.90,0.06538891792297363,4
181.89.5.90,0.07011294364929199,4
181.89.5.90,0.0662240982055664,4
181.89.5.92,0.06557250022888184,4
181.89.5.92,0.06612539291381836,4
181.89.5.92,0.06623029708862305,4
181.89.5.92,0.06559562683105469,4
181.89.5.90,0.05784964561462402,4
181.89.5.90,0.061783790588378906,4
181.89.5.90,0.06565976142883301,4
181.89.5.90,0.0619351863861084,4
181.89.5.92,0.06581425666809082,4
181.89.5.92,0.07764983177185059,4
181.89.5.92,0.07082104682922363,4
181.89.5.92,0.06582045555114746,4
181.89.5.92,0.06585192680358887,4
181.89.5.92,0.0657806396484375,4
181.89.5.92,0.06557393074035645,4
190.227.246.204,0.18978190422058105,5
181.88.170.46,0.2072756290435791,5
190.227.246.206,0.1976914405822754,5
181.89.5.197,0.2018444538116455,5
181.89.5.201,0.19332337379455566,5
181.96.22.227,0.21533608436584473,5
181.88.108.233,0.19774341583251953,5
181.96.22.227,0.19781780242919922,5
181.89.5.201,0.23334932327270508,5
181.88.111.6,0.19106745719909668,5
181.88.170.46,0.19550704956054688,5
190.227.246.204,0.19400501251220703,5
200.3.32.200,0.20934057235717773,5
181.89.5.193,0.2180323600769043,5
181.96.22.227,0.21894192695617676,5
181.89.5.201,0.2095937728881836,5
200.3.32.248,0.21515250205993652,5
181.88.111.6,0.2061753273010254,5
181.88.170.46,0.19367384910583496,5
190.227.246.204,0.20638346672058105,5
200.3.32.200,0.20169520378112793,5
181.89.5.193,0.1980278491973877,5
190.227.246.204,0.20174145698547363,5
181.88.170.46,0.3670053482055664,5
190.227.246.206,0.18981170654296875,5
181.89.5.197,0.19866132736206055,5
181.89.5.201,0.18977952003479004,5
181.88.108.236,0.19394564628601074,5
181.88.111.6,0.19800758361816406,5
200.3.32.248,0.21764564514160156,5
181.88.111.8,0.19775843620300293,5
181.96.22.227,0.1977238655090332,5
190.225.252.69,0.19369149208068848,6
190.225.252.110,0.19150447845458984,6
190.225.252.110,0.19780802726745605,6
190.225.252.110,0.2059917449951172,6
190.225.252.110,0.1976947784423828,6
190.225.252.69,0.18957757949829102,6
