dst,rtt,ttl
192.168.0.1,0.1288738250732422,1
192.168.0.1,0.0426175594329834,1
192.168.0.1,0.04297828674316406,1
192.168.0.1,0.037642717361450195,1
192.168.0.1,0.04154324531555176,1
192.168.0.1,0.04567241668701172,1
NA,NA,1
192.168.0.1,0.05520367622375488,1
NA,NA,1
192.168.0.1,0.05077505111694336,1
NA,NA,1
192.168.0.1,0.038973331451416016,1
NA,NA,1
192.168.0.1,0.0377347469329834,1
NA,NA,1
192.168.0.1,0.04243206977844238,1
NA,NA,1
192.168.0.1,0.04522871971130371,1
NA,NA,1
192.168.0.1,0.04168295860290527,1
NA,NA,1
192.168.0.1,0.035054683685302734,1
192.168.0.1,0.03540945053100586,1
NA,NA,1
192.168.0.1,0.04726600646972656,1
NA,NA,1
192.168.0.1,0.042931318283081055,1
NA,NA,1
192.168.0.1,0.04700636863708496,1
NA,NA,1
192.168.0.1,0.045629262924194336,1
NA,NA,1
10.0.0.2,0.04571080207824707,2
10.0.0.2,0.04977154731750488,2
10.0.0.2,0.0531620979309082,2
10.0.0.2,0.04682135581970215,2
10.0.0.2,0.0417935848236084,2
10.0.0.2,0.061577558517456055,2
10.0.0.2,0.05352663993835449,2
10.0.0.2,0.03732442855834961,2
10.0.0.2,0.05482149124145508,2
10.0.0.2,0.04160881042480469,2
10.0.0.2,0.04695320129394531,2
10.0.0.2,0.04139876365661621,2
10.0.0.2,0.041715145111083984,2
10.0.0.2,0.04947638511657715,2
10.0.0.2,0.03745293617248535,2
10.0.0.2,0.04705309867858887,2
10.0.0.2,0.03740334510803223,2
10.0.0.2,0.04673433303833008,2
10.0.0.2,0.046181678771972656,2
10.0.0.2,0.037438392639160156,2
10.0.0.2,0.04713273048400879,2
10.0.0.2,0.04534196853637695,2
10.0.0.2,0.041449785232543945,2
10.0.0.2,0.05094265937805176,2
10.0.0.2,0.04578852653503418,2
10.0.0.2,0.04921364784240723,2
10.0.0.2,0.045597076416015625,2
10.0.0.2,0.04692435264587402,2
10.0.0.2,0.03733181953430176,2
10.0.0.2,0.04697108268737793,2
10.0.0.2,0.04953336715698242,2
10.0.0.2,0.04550504684448242,2
181.88.172.60,0.053580522537231445,3
181.88.172.60,0.0588221549987793,3
181.88.172.60,0.06613588333129883,3
181.88.172.60,0.05853128433227539,3
181.88.172.60,0.06653261184692383,3
181.88.172.60,0.05782723426818848,3
181.88.172.60,0.06700015068054199,3
181.88.172.60,0.06933164596557617,3
181.88.172.60,0.06677865982055664,3
181.88.172.60,0.06999897956848145,3
181.88.172.60,0.06530904769897461,3
181.88.172.60,0.0671687126159668,3
181.88.172.60,0.07332253456115723,3
181.88.172.60,0.05742788314819336,3
181.88.172.60,0.06271743774414062,3
181.88.172.60,0.06583404541015625,3
181.88.172.60,0.0668187141418457,3
181.88.172.60,0.07789325714111328,3
181.88.172.60,0.06621742248535156,3
181.88.172.60,0.0886232852935791,3
181.88.172.60,0.10329723358154297,3
181.88.172.60,0.11085987091064453,3
181.88.172.60,0.11787915229797363,3
181.88.172.60,0.06528949737548828,3
181.88.172.60,0.05903768539428711,3
181.88.172.60,0.07089400291442871,3
181.88.172.60,0.05742526054382324,3
181.88.172.60,0.06730175018310547,3
181.88.172.60,0.06603026390075684,3
181.88.172.60,0.05695056915283203,3
181.88.172.60,0.06322669982910156,3
181.88.172.60,0.06587791442871094,3
181.89.5.92,0.07428359985351562,4
181.89.5.92,0.06662631034851074,4
181.89.5.92,0.06564855575561523,4
181.89.5.90,0.06542444229125977,4
181.89.5.90,0.06571054458618164,4
181.89.5.90,0.06975913047790527,4
181.89.5.90,0.06556916236877441,4
181.89.5.90,0.06576752662658691,4
181.89.5.90,0.05761432647705078,4
181.89.5.92,0.06959390640258789,4
181.89.5.92,0.07353949546813965,4
181.89.5.90,0.07751917839050293,4
181.89.5.90,0.10189008712768555,4
181.89.5.90,0.09732460975646973,4
181.89.5.90,0.06607294082641602,4
181.89.5.92,0.064971923828125,4
181.89.5.92,0.059462547302246094,4
181.89.5.92,0.06559896469116211,4
181.89.5.90,0.0814058780670166,4
181.89.5.90,0.061860084533691406,4
181.89.5.90,0.06696128845214844,4
181.89.5.92,0.06713080406188965,4
181.89.5.92,0.061478376388549805,4
181.89.5.90,0.06695199012756348,4
181.89.5.90,0.06707262992858887,4
181.89.5.90,0.07760000228881836,4
181.89.5.92,0.07738804817199707,4
181.89.5.92,0.061705589294433594,4
181.89.5.92,0.06541848182678223,4
181.89.5.92,0.06671500205993652,4
181.89.5.92,0.061838626861572266,4
181.89.5.92,0.061820268630981445,4
181.88.111.26,0.06202292442321777,5
190.224.165.110,0.05753660202026367,5
181.88.80.210,0.06977701187133789,5
181.88.111.23,0.2650282382965088,5
190.224.165.114,0.06714701652526855,5
190.224.165.114,0.06992626190185547,5
190.224.165.110,0.06135201454162598,5
181.88.111.23,0.06979823112487793,5
190.224.165.110,0.062744140625,5
181.88.80.210,0.0697324275970459,5
190.224.165.110,0.0668497085571289,5
190.224.165.110,0.06583070755004883,5
190.224.165.110,0.061911821365356445,5
181.88.111.26,0.1018528938293457,5
190.224.165.114,0.06585192680358887,5
190.224.165.114,0.06539106369018555,5
190.224.165.110,0.06138324737548828,5
190.224.165.110,0.07142114639282227,5
190.224.165.110,0.07741951942443848,5
181.88.80.210,0.06979966163635254,5
181.88.111.26,0.06147003173828125,5
181.88.80.238,0.05820465087890625,5
190.224.165.114,0.07312893867492676,5
181.88.80.238,0.06166529655456543,5
190.224.165.114,0.07086420059204102,5
181.88.111.26,0.05751752853393555,5
181.88.111.26,0.09383344650268555,5
190.224.165.110,0.08990192413330078,5
190.224.165.110,0.0973513126373291,5
181.88.111.23,0.10281610488891602,5
181.88.80.210,0.11734414100646973,5
190.224.165.114,0.07518386840820312,5
185.70.203.48,0.061835527420043945,6
185.70.203.48,0.06558060646057129,6
185.70.203.48,0.06923508644104004,6
185.70.203.48,0.06293439865112305,6
185.70.203.48,0.07100105285644531,6
185.70.203.48,0.06965517997741699,6
185.70.203.48,0.06597328186035156,6
185.70.203.48,0.05728554725646973,6
185.70.203.48,0.07084178924560547,6
185.70.203.48,0.06587386131286621,6
185.70.203.48,0.06966614723205566,6
185.70.203.48,0.06513237953186035,6
185.70.203.48,0.06751775741577148,6
185.70.203.48,0.08129334449768066,6
185.70.203.48,0.05752277374267578,6
185.70.203.48,0.06203174591064453,6
185.70.203.48,0.06576323509216309,6
185.70.203.48,0.07720398902893066,6
185.70.203.48,0.06158566474914551,6
185.70.203.48,0.06694722175598145,6
185.70.203.48,0.05911874771118164,6
185.70.203.48,0.06678462028503418,6
185.70.203.48,0.07384610176086426,6
185.70.203.48,0.061666011810302734,6
185.70.203.48,0.07332968711853027,6
185.70.203.48,0.06595921516418457,6
185.70.203.48,0.057610273361206055,6
185.70.203.48,0.07351899147033691,6
185.70.203.48,0.06985211372375488,6
185.70.203.48,0.08147120475769043,6
185.70.203.48,0.05751991271972656,6
185.70.203.48,0.057463645935058594,6
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
89.221.41.197,0.23489069938659668,8
89.221.41.197,0.2017066478729248,8
89.221.41.197,0.19378066062927246,8
89.221.41.197,0.20921063423156738,8
89.221.41.197,0.2195272445678711,8
89.221.41.197,0.24940824508666992,8
89.221.41.197,0.1936328411102295,8
89.221.41.197,0.1976301670074463,8
89.221.41.197,0.19718313217163086,8
89.221.41.197,0.2033686637878418,8
89.221.41.197,0.1973581314086914,8
89.221.41.197,0.1941394805908203,8
89.221.41.197,0.19368386268615723,8
89.221.41.197,0.196990966796875,8
89.221.41.197,0.9749398231506348,8
89.221.41.197,0.19562554359436035,8
89.221.41.197,0.2173326015472412,8
89.221.41.197,0.20554089546203613,8
89.221.41.197,0.18940472602844238,8
89.221.41.197,0.18978071212768555,8
89.221.41.197,0.20562410354614258,8
89.221.41.197,0.19504594802856445,8
89.221.41.197,0.1951584815979004,8
89.221.41.197,0.20539259910583496,8
89.221.41.197,0.20160460472106934,8
89.221.41.197,0.193373441696167,8
89.221.41.197,0.18569040298461914,8
89.221.41.197,0.2552456855773926,8
89.221.41.197,0.23377084732055664,8
89.221.41.197,0.18938779830932617,8
89.221.41.197,0.1836223602294922,8
89.221.41.197,0.1895279884338379,8
89.149.139.5,0.28157949447631836,9
89.149.139.5,0.2775557041168213,9
89.149.139.5,0.2693948745727539,9
89.149.139.5,0.28349733352661133,9
89.149.139.5,0.27745652198791504,9
89.149.139.5,0.27725815773010254,9
89.149.139.5,0.2873685359954834,9
89.149.139.5,0.27736806869506836,9
89.149.139.5,0.29006218910217285,9
89.149.139.5,0.3010244369506836,9
89.149.139.5,0.315446138381958,9
89.149.139.5,0.28546929359436035,9
89.149.139.5,0.28122854232788086,9
89.149.139.5,0.2828195095062256,9
89.149.139.5,0.2980766296386719,9
89.149.139.5,0.30522918701171875,9
89.149.139.5,0.27123522758483887,9
89.149.139.5,0.28280186653137207,9
89.149.139.5,0.2779810428619385,9
89.149.139.5,0.27807044982910156,9
89.149.139.5,0.27717089653015137,9
89.149.139.5,0.27851176261901855,9
89.149.139.5,0.2736086845397949,9
89.149.139.5,0.29006028175354004,9
89.149.139.5,0.28150510787963867,9
89.149.139.5,0.2779850959777832,9
89.149.139.5,0.273331880569458,9
89.149.139.5,0.27503538131713867,9
89.149.139.5,0.2784428596496582,9
89.149.139.5,0.2776610851287842,9
89.149.139.5,0.2816789150238037,9
89.149.139.5,0.28191423416137695,9
46.33.78.78,0.2857034206390381,10
46.33.78.78,0.2971961498260498,10
46.33.78.78,0.3190920352935791,10
46.33.78.78,0.2741856575012207,10
46.33.78.78,0.2853090763092041,10
46.33.78.78,0.27512049674987793,10
46.33.78.78,0.2792675495147705,10
46.33.78.78,0.27776598930358887,10
46.33.78.78,0.27756714820861816,10
46.33.78.78,0.2911539077758789,10
46.33.78.78,0.2736656665802002,10
46.33.78.78,0.27377796173095703,10
46.33.78.78,0.30516982078552246,10
46.33.78.78,0.27938175201416016,10
46.33.78.78,0.2853872776031494,10
46.33.78.78,0.2745840549468994,10
46.33.78.78,0.2786529064178467,10
46.33.78.78,0.2796974182128906,10
46.33.78.78,0.2774348258972168,10
46.33.78.78,0.2734551429748535,10
46.33.78.78,0.3115193843841553,10
46.33.78.78,0.2851064205169678,10
46.33.78.78,0.27945947647094727,10
46.33.78.78,0.2852787971496582,10
46.33.78.78,0.2738077640533447,10
46.33.78.78,0.2782013416290283,10
46.33.78.78,0.2893555164337158,10
46.33.78.78,0.2773144245147705,10
46.33.78.78,0.2827572822570801,10
46.33.78.78,0.2872171401977539,10
46.33.78.78,0.26534366607666016,10
46.33.78.78,0.283003568649292,10
146.97.35.193,0.2652268409729004,11
146.97.35.193,0.27467942237854004,11
146.97.35.193,0.2955803871154785,11
146.97.35.193,0.2771482467651367,11
146.97.35.193,0.2795596122741699,11
146.97.35.193,0.27314257621765137,11
146.97.35.193,0.27895498275756836,11
146.97.35.193,0.3296189308166504,11
146.97.35.193,0.29392075538635254,11
146.97.35.193,0.28118896484375,11
146.97.35.193,0.2907886505126953,11
146.97.35.193,0.27699732780456543,11
146.97.35.193,0.2792966365814209,11
146.97.35.193,0.277911901473999,11
146.97.35.193,0.2892036437988281,11
146.97.35.193,0.28731250762939453,11
146.97.35.193,0.28527379035949707,11
146.97.35.193,0.2792384624481201,11
146.97.35.193,0.27724766731262207,11
146.97.35.193,0.27950024604797363,11
146.97.35.193,0.27332639694213867,11
146.97.35.193,0.26946425437927246,11
146.97.35.193,0.2692849636077881,11
146.97.35.193,0.27851176261901855,11
146.97.35.193,0.2715282440185547,11
146.97.35.193,0.2652716636657715,11
146.97.35.193,0.32290029525756836,11
146.97.35.193,0.2819085121154785,11
146.97.35.193,0.28140830993652344,11
146.97.35.193,0.27846336364746094,11
146.97.35.193,0.28551506996154785,11
146.97.35.193,0.2741694450378418,11
146.97.33.62,0.278853178024292,12
146.97.33.62,0.27504754066467285,12
146.97.33.62,0.3912050724029541,12
146.97.33.62,0.29065632820129395,12
146.97.33.62,0.28513598442077637,12
146.97.33.62,0.2709782123565674,12
146.97.33.62,0.27944016456604004,12
146.97.33.62,0.2815890312194824,12
146.97.33.62,0.2814211845397949,12
146.97.33.62,0.27489519119262695,12
146.97.33.62,0.26694607734680176,12
146.97.33.62,0.28331446647644043,12
146.97.33.62,0.32125115394592285,12
146.97.33.62,0.2795579433441162,12
146.97.33.62,0.3054828643798828,12
146.97.33.62,0.28121471405029297,12
146.97.33.62,0.27892351150512695,12
146.97.33.62,0.2792816162109375,12
146.97.33.62,0.29778265953063965,12
146.97.33.62,0.2855794429779053,12
146.97.33.62,0.2809865474700928,12
146.97.33.62,0.2833216190338135,12
146.97.33.62,0.27768659591674805,12
146.97.33.62,0.2734832763671875,12
146.97.33.62,0.2816426753997803,12
146.97.33.62,0.28558993339538574,12
146.97.33.62,0.2734193801879883,12
146.97.33.62,0.28288936614990234,12
146.97.33.62,0.28699302673339844,12
146.97.33.62,0.2824990749359131,12
146.97.33.62,0.27727460861206055,12
146.97.33.62,0.3135509490966797,12
146.97.33.5,0.27811622619628906,13
146.97.33.5,0.2693967819213867,13
146.97.33.5,0.2913360595703125,13
146.97.33.5,0.2736997604370117,13
146.97.33.5,0.2731759548187256,13
146.97.33.5,0.27475452423095703,13
146.97.33.5,0.28714919090270996,13
146.97.33.5,0.2778313159942627,13
146.97.33.5,0.2699594497680664,13
146.97.33.5,0.2827792167663574,13
146.97.33.5,0.28162693977355957,13
146.97.33.5,0.2669556140899658,13
146.97.33.5,0.2863321304321289,13
146.97.33.5,0.2865142822265625,13
146.97.33.5,0.2750847339630127,13
146.97.33.5,0.2750513553619385,13
146.97.33.5,0.28326916694641113,13
146.97.33.5,0.32132506370544434,13
146.97.33.5,0.329988956451416,13
146.97.33.5,0.26526522636413574,13
146.97.33.5,0.2871854305267334,13
146.97.33.5,0.2812385559082031,13
146.97.33.5,0.2735142707824707,13
146.97.33.5,0.2778959274291992,13
146.97.33.5,0.2820549011230469,13
146.97.33.5,0.293212890625,13
146.97.33.5,0.2873573303222656,13
146.97.33.5,0.27344346046447754,13
146.97.33.5,0.28136134147644043,13
146.97.33.5,0.2747313976287842,13
146.97.33.5,0.2779967784881592,13
146.97.33.5,0.2813563346862793,13
146.97.37.194,0.27069568634033203,14
146.97.37.194,0.27577877044677734,14
146.97.37.194,0.2815558910369873,14
