dst,rtt,ttl
192.168.0.1,0.10022759437561035,1
192.168.0.1,0.0471043586730957,1
192.168.0.1,0.03745698928833008,1
192.168.0.1,0.042803287506103516,1
192.168.0.1,0.03923964500427246,1
192.168.0.1,0.04579877853393555,1
NA,NA,1
192.168.0.1,0.038913726806640625,1
NA,NA,1
192.168.0.1,0.04275941848754883,1
NA,NA,1
192.168.0.1,0.041758060455322266,1
NA,NA,1
192.168.0.1,0.0389554500579834,1
NA,NA,1
192.168.0.1,0.04704093933105469,1
NA,NA,1
192.168.0.1,0.04715561866760254,1
NA,NA,1
192.168.0.1,0.05977463722229004,1
NA,NA,1
192.168.0.1,0.046349525451660156,1
192.168.0.1,0.04574775695800781,1
NA,NA,1
192.168.0.1,0.03824782371520996,1
NA,NA,1
192.168.0.1,0.043083906173706055,1
NA,NA,1
192.168.0.1,0.3993542194366455,1
NA,NA,1
192.168.0.1,0.04991722106933594,1
NA,NA,1
10.0.0.2,0.04728412628173828,2
10.0.0.2,0.04160141944885254,2
10.0.0.2,0.04157114028930664,2
10.0.0.2,0.05509757995605469,2
10.0.0.2,0.03751778602600098,2
10.0.0.2,0.04326462745666504,2
10.0.0.2,0.05776238441467285,2
10.0.0.2,0.04530906677246094,2
10.0.0.2,0.04677605628967285,2
10.0.0.2,0.054778099060058594,2
10.0.0.2,0.04578208923339844,2
10.0.0.2,0.04150199890136719,2
10.0.0.2,0.05529379844665527,2
10.0.0.2,0.049376487731933594,2
10.0.0.2,0.04674172401428223,2
10.0.0.2,0.04155445098876953,2
10.0.0.2,0.04304909706115723,2
10.0.0.2,0.04573845863342285,2
10.0.0.2,0.0458371639251709,2
10.0.0.2,0.045957088470458984,2
10.0.0.2,0.04543757438659668,2
10.0.0.2,0.03880715370178223,2
10.0.0.2,0.046797752380371094,2
10.0.0.2,0.04706430435180664,2
10.0.0.2,0.03783130645751953,2
10.0.0.2,0.04972529411315918,2
10.0.0.2,0.053926944732666016,2
10.0.0.2,0.08179974555969238,2
10.0.0.2,0.06188488006591797,2
10.0.0.2,0.04160046577453613,2
10.0.0.2,0.041779518127441406,2
10.0.0.2,0.037512779235839844,2
181.88.172.60,0.0628962516784668,3
181.88.172.60,0.07403564453125,3
181.88.172.60,0.06560969352722168,3
181.88.172.60,0.07800602912902832,3
181.88.172.60,0.07724142074584961,3
181.88.172.60,0.06650924682617188,3
181.88.172.60,0.06285905838012695,3
181.88.172.60,0.061652421951293945,3
181.88.172.60,0.05746173858642578,3
181.88.172.60,0.06730365753173828,3
181.88.172.60,0.05778241157531738,3
181.88.172.60,0.06728625297546387,3
181.88.172.60,0.06625151634216309,3
181.88.172.60,0.061804771423339844,3
181.88.172.60,0.06924319267272949,3
181.88.172.60,0.06747293472290039,3
181.88.172.60,0.06554007530212402,3
181.88.172.60,0.06625723838806152,3
181.88.172.60,0.06578993797302246,3
181.88.172.60,0.06563353538513184,3
181.88.172.60,0.06221127510070801,3
181.88.172.60,0.07735705375671387,3
181.88.172.60,0.06702470779418945,3
181.88.172.60,0.0654151439666748,3
181.88.172.60,0.05925631523132324,3
181.88.172.60,0.06206178665161133,3
181.88.172.60,0.06666970252990723,3
181.88.172.60,0.057868003845214844,3
181.88.172.60,0.06190204620361328,3
181.88.172.60,0.061455488204956055,3
181.88.172.60,0.06631231307983398,3
181.88.172.60,0.06360197067260742,3
181.89.5.90,0.06951284408569336,4
181.89.5.92,0.06586861610412598,4
181.89.5.92,0.05356407165527344,4
181.89.5.92,0.059470415115356445,4
181.89.5.92,0.05785346031188965,4
181.89.5.90,0.06956171989440918,4
181.89.5.90,0.07409381866455078,4
181.89.5.90,0.057459354400634766,4
181.89.5.90,0.06731271743774414,4
181.89.5.90,0.05759572982788086,4
181.89.5.90,0.06306982040405273,4
181.89.5.90,0.06574654579162598,4
181.89.5.90,0.06178092956542969,4
181.89.5.92,0.06178617477416992,4
181.89.5.92,0.06957316398620605,4
181.89.5.92,0.0627281665802002,4
181.89.5.92,0.06653738021850586,4
181.89.5.90,0.0696096420288086,4
181.89.5.90,0.05714297294616699,4
181.89.5.90,0.06747651100158691,4
181.89.5.90,0.0661475658416748,4
181.89.5.92,0.05787086486816406,4
181.89.5.92,0.06566882133483887,4
181.89.5.92,0.0614466667175293,4
181.89.5.92,0.06740927696228027,4
181.89.5.90,0.06972217559814453,4
181.89.5.90,0.058782100677490234,4
181.89.5.90,0.07352042198181152,4
181.89.5.90,0.061393022537231445,4
181.89.5.92,0.06771588325500488,4
181.89.5.92,0.06935548782348633,4
181.89.5.92,0.07802510261535645,4
181.96.22.229,0.19403719902038574,5
181.89.5.199,0.1977241039276123,5
181.89.5.197,0.2058124542236328,5
190.227.246.206,0.2016127109527588,5
181.89.5.199,0.19483208656311035,5
181.96.22.229,0.20702672004699707,5
181.89.5.193,0.19787240028381348,5
200.3.32.200,0.20149540901184082,5
181.88.111.8,0.1983802318572998,5
181.96.22.227,0.2018883228302002,5
181.88.108.233,0.23346304893493652,5
181.88.80.244,0.2060565948486328,5
181.88.108.233,0.18941307067871094,5
200.3.32.248,0.22973418235778809,5
181.89.5.201,0.20559406280517578,5
