dst,rtt,ttl
192.168.0.1,0.08729815483093262,1
192.168.0.1,0.037694454193115234,1
192.168.0.1,0.03744840621948242,1
192.168.0.1,0.04306387901306152,1
192.168.0.1,0.03778576850891113,1
192.168.0.1,0.041475772857666016,1
NA,NA,1
192.168.0.1,0.03875923156738281,1
NA,NA,1
192.168.0.1,0.04690074920654297,1
NA,NA,1
192.168.0.1,0.047132015228271484,1
NA,NA,1
192.168.0.1,0.04339933395385742,1
NA,NA,1
192.168.0.1,0.055228471755981445,1
NA,NA,1
192.168.0.1,0.06983423233032227,1
NA,NA,1
192.168.0.1,0.04159259796142578,1
NA,NA,1
192.168.0.1,0.0508882999420166,1
192.168.0.1,0.04665231704711914,1
NA,NA,1
192.168.0.1,0.04290199279785156,1
NA,NA,1
192.168.0.1,0.03918933868408203,1
NA,NA,1
192.168.0.1,0.06990957260131836,1
NA,NA,1
192.168.0.1,0.04165768623352051,1
NA,NA,1
10.0.0.2,0.049784183502197266,2
10.0.0.2,0.045560598373413086,2
10.0.0.2,0.039031028747558594,2
10.0.0.2,0.041712284088134766,2
10.0.0.2,0.03780508041381836,2
10.0.0.2,0.04152870178222656,2
10.0.0.2,0.038770437240600586,2
10.0.0.2,0.04321479797363281,2
10.0.0.2,0.0395045280456543,2
10.0.0.2,0.041722774505615234,2
10.0.0.2,0.042957305908203125,2
10.0.0.2,0.04985642433166504,2
10.0.0.2,0.04584789276123047,2
10.0.0.2,0.037480831146240234,2
10.0.0.2,0.050861358642578125,2
10.0.0.2,0.050820112228393555,2
10.0.0.2,0.04309868812561035,2
10.0.0.2,0.04146456718444824,2
10.0.0.2,0.05099225044250488,2
10.0.0.2,0.03776741027832031,2
10.0.0.2,0.04246163368225098,2
10.0.0.2,0.0432581901550293,2
10.0.0.2,0.04955267906188965,2
10.0.0.2,0.04596877098083496,2
10.0.0.2,0.04140162467956543,2
10.0.0.2,0.04684710502624512,2
10.0.0.2,0.046288490295410156,2
10.0.0.2,0.04985785484313965,2
10.0.0.2,0.04569888114929199,2
10.0.0.2,0.041548728942871094,2
10.0.0.2,0.038904428482055664,2
10.0.0.2,0.050927162170410156,2
181.88.172.60,0.06137204170227051,3
181.88.172.60,0.06745100021362305,3
181.88.172.60,0.057962894439697266,3
181.88.172.60,0.05738973617553711,3
181.88.172.60,0.0594942569732666,3
