dst,rtt,ttl
192.168.0.1,0.09385848045349121,1
192.168.0.1,0.05033373832702637,1
192.168.0.1,0.04268145561218262,1
192.168.0.1,0.04696178436279297,1
192.168.0.1,0.045647621154785156,1
192.168.0.1,0.06149482727050781,1
NA,NA,1
192.168.0.1,0.03985238075256348,1
NA,NA,1
192.168.0.1,0.04723215103149414,1
NA,NA,1
192.168.0.1,0.07501101493835449,1
NA,NA,1
192.168.0.1,0.053609609603881836,1
NA,NA,1
192.168.0.1,0.05125570297241211,1
NA,NA,1
192.168.0.1,0.03937983512878418,1
NA,NA,1
192.168.0.1,0.051044464111328125,1
192.168.0.1,0.049334049224853516,1
NA,NA,1
192.168.0.1,0.04688429832458496,1
NA,NA,1
192.168.0.1,0.03860187530517578,1
NA,NA,1
192.168.0.1,0.050746917724609375,1
NA,NA,1
192.168.0.1,0.03957939147949219,1
NA,NA,1
192.168.0.1,0.043204307556152344,1
NA,NA,1
10.0.0.2,0.07488059997558594,2
10.0.0.2,0.05770301818847656,2
10.0.0.2,0.05465555191040039,2
10.0.0.2,0.054610490798950195,2
10.0.0.2,0.05923199653625488,2
10.0.0.2,0.04550290107727051,2
10.0.0.2,0.04541802406311035,2
10.0.0.2,0.04530167579650879,2
10.0.0.2,0.05882859230041504,2
10.0.0.2,0.05863785743713379,2
10.0.0.2,0.04548478126525879,2
10.0.0.2,0.04640913009643555,2
10.0.0.2,0.04549217224121094,2
10.0.0.2,0.05006670951843262,2
10.0.0.2,0.04131960868835449,2
10.0.0.2,0.05074167251586914,2
10.0.0.2,0.0470423698425293,2
10.0.0.2,0.045413970947265625,2
10.0.0.2,0.04942750930786133,2
10.0.0.2,0.04696941375732422,2
10.0.0.2,0.05334162712097168,2
10.0.0.2,0.04696846008300781,2
10.0.0.2,0.0694730281829834,2
10.0.0.2,0.04550337791442871,2
10.0.0.2,0.04531455039978027,2
10.0.0.2,0.05130720138549805,2
10.0.0.2,0.057149410247802734,2
10.0.0.2,0.05371689796447754,2
10.0.0.2,0.04546093940734863,2
10.0.0.2,0.04989051818847656,2
10.0.0.2,0.05324435234069824,2
10.0.0.2,0.10592818260192871,2
181.88.172.60,0.07306718826293945,3
181.88.172.60,0.07880806922912598,3
181.88.172.60,0.08176445960998535,3
181.88.172.60,0.06550097465515137,3
181.88.172.60,0.06181001663208008,3
181.88.172.60,0.07344436645507812,3
181.88.172.60,0.06943273544311523,3
181.88.172.60,0.06145143508911133,3
181.88.172.60,0.06158328056335449,3
181.88.172.60,0.05767488479614258,3
181.88.172.60,0.07940483093261719,3
181.88.172.60,0.06909775733947754,3
181.88.172.60,0.07948756217956543,3
181.88.172.60,0.07331109046936035,3
181.88.172.60,0.07722163200378418,3
181.88.172.60,0.06342005729675293,3
181.88.172.60,0.06949114799499512,3
181.88.172.60,0.06521058082580566,3
181.88.172.60,0.07894706726074219,3
181.88.172.60,0.09431028366088867,3
181.88.172.60,0.12198090553283691,3
181.88.172.60,0.10147786140441895,3
181.88.172.60,0.0932154655456543,3
181.88.172.60,0.08549761772155762,3
181.88.172.60,0.06160569190979004,3
181.88.172.60,0.0624384880065918,3
181.88.172.60,0.07791352272033691,3
181.88.172.60,0.073822021484375,3
181.88.172.60,0.08142948150634766,3
181.88.172.60,0.07351112365722656,3
181.88.172.60,0.0773019790649414,3
181.88.172.60,0.08300447463989258,3
181.89.5.90,0.07143187522888184,4
181.89.5.90,0.06925415992736816,4
181.89.5.90,0.06589221954345703,4
181.89.5.90,0.06567907333374023,4
181.89.5.90,0.061931610107421875,4
181.89.5.90,0.06949448585510254,4
181.89.5.90,0.06101703643798828,4
181.89.5.90,0.07887697219848633,4
181.89.5.90,0.06591320037841797,4
181.89.5.90,0.07316398620605469,4
181.89.5.90,0.0628819465637207,4
181.89.5.90,0.08696103096008301,4
181.89.5.90,0.11118030548095703,4
181.89.5.90,0.1055912971496582,4
181.89.5.90,0.06555628776550293,4
181.89.5.90,0.061911821365356445,4
181.89.5.90,0.08159589767456055,4
181.89.5.90,0.08542895317077637,4
181.89.5.90,0.07455992698669434,4
181.89.5.90,0.08680987358093262,4
181.89.5.90,0.07423257827758789,4
181.89.5.90,0.07891988754272461,4
181.89.5.90,0.08316564559936523,4
181.89.5.90,0.12964296340942383,4
181.89.5.90,0.09381723403930664,4
181.89.5.90,0.06927061080932617,4
181.89.5.90,0.06702876091003418,4
181.89.5.90,0.0695953369140625,4
181.89.5.90,0.08687043190002441,4
181.89.5.90,0.07372164726257324,4
181.89.5.90,0.08605122566223145,4
181.89.5.90,0.11719107627868652,4
181.89.5.199,0.21749496459960938,5
181.89.5.199,0.19948959350585938,5
181.89.5.199,0.20943617820739746,5
181.89.5.199,0.20943546295166016,5
181.89.5.199,0.2349684238433838,5
181.89.5.199,0.19136357307434082,5
181.89.5.199,0.20955252647399902,5
181.89.5.199,0.24938750267028809,5
181.89.5.199,0.22183847427368164,5
181.89.5.199,0.19884991645812988,5
181.89.5.199,0.21296095848083496,5
181.89.5.199,0.21914148330688477,5
181.89.5.199,0.2499237060546875,5
181.89.5.199,0.19701123237609863,5
181.89.5.199,0.20652461051940918,5
181.89.5.199,0.2539808750152588,5
181.89.5.199,0.20536375045776367,5
181.89.5.199,0.19364643096923828,5
181.89.5.199,0.2054886817932129,5
181.89.5.199,0.19873642921447754,5
181.89.5.199,0.20254111289978027,5
181.89.5.199,0.2152268886566162,5
181.89.5.199,0.2138526439666748,5
181.89.5.199,0.2809333801269531,5
181.89.5.199,0.22353100776672363,5
181.89.5.199,0.2013545036315918,5
181.89.5.199,0.2254924774169922,5
181.89.5.199,0.20539164543151855,5
