dst,rtt,ttl
192.168.0.1,0.4449763298034668,1
NA,NA,1
192.168.0.1,0.046933650970458984,1
192.168.0.1,0.06481432914733887,1
192.168.0.1,0.0598905086517334,1
192.168.0.1,0.051550865173339844,1
192.168.0.1,0.045210838317871094,1
192.168.0.1,0.05480146408081055,1
192.168.0.1,0.06388616561889648,1
192.168.0.1,0.043224334716796875,1
192.168.0.1,0.05637383460998535,1
192.168.0.1,0.047284603118896484,1
192.168.0.1,0.04784274101257324,1
192.168.0.1,0.04389047622680664,1
192.168.0.1,0.03982806205749512,1
192.168.0.1,0.047800540924072266,1
192.168.0.1,0.06762242317199707,1
192.168.0.1,0.05247855186462402,1
192.168.0.1,0.0354008674621582,1
192.168.0.1,0.047759056091308594,1
192.168.0.1,0.039679527282714844,1
192.168.0.1,0.04796552658081055,1
192.168.0.1,0.053021907806396484,1
192.168.0.1,0.04261612892150879,1
192.168.0.1,0.04391956329345703,1
192.168.0.1,0.04382729530334473,1
192.168.0.1,0.05189394950866699,1
192.168.0.1,0.03773760795593262,1
192.168.0.1,0.04986143112182617,1
192.168.0.1,0.06409525871276855,1
192.168.0.1,0.055971384048461914,1
192.168.0.1,0.04748940467834473,1
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
200.89.165.250,0.047800540924072266,5
200.89.165.250,0.06396913528442383,5
200.89.165.250,0.06406760215759277,5
200.89.165.250,0.052522897720336914,5
200.89.165.250,0.051387786865234375,5
200.89.165.250,0.07425093650817871,5
200.89.165.250,0.06332182884216309,5
200.89.165.250,0.05352902412414551,5
200.89.165.250,0.059584617614746094,5
200.89.165.250,0.05948972702026367,5
200.89.165.250,0.05992603302001953,5
200.89.165.250,0.06009960174560547,5
200.89.165.250,0.05167341232299805,5
200.89.165.250,0.06121015548706055,5
200.89.165.250,0.05053567886352539,5
200.89.165.250,0.05155777931213379,5
200.89.165.250,0.05998516082763672,5
200.89.165.250,0.059931278228759766,5
200.89.165.250,0.06818389892578125,5
200.89.165.250,0.05532264709472656,5
200.89.165.250,0.05566883087158203,5
200.89.165.250,0.08041882514953613,5
200.89.165.250,0.051406145095825195,5
200.89.165.250,0.055966854095458984,5
200.89.165.250,0.06369304656982422,5
200.89.165.250,0.05213332176208496,5
200.89.165.250,0.06124067306518555,5
200.89.165.250,0.05837106704711914,5
200.89.165.250,0.05987405776977539,5
200.89.165.250,0.06334209442138672,5
200.89.165.250,0.05186033248901367,5
200.89.165.250,0.05565643310546875,5
185.70.203.32,0.04018378257751465,6
185.70.203.32,0.055431365966796875,6
185.70.203.32,0.06403136253356934,6
185.70.203.32,0.05565810203552246,6
185.70.203.32,0.05999946594238281,6
185.70.203.32,0.04825878143310547,6
185.70.203.32,0.04726266860961914,6
185.70.203.32,0.04794478416442871,6
185.70.203.32,0.05600619316101074,6
185.70.203.32,0.04494500160217285,6
185.70.203.32,0.06460213661193848,6
185.70.203.32,0.05832529067993164,6
185.70.203.32,0.0511021614074707,6
185.70.203.32,0.059412240982055664,6
185.70.203.32,0.047995567321777344,6
185.70.203.32,0.048056602478027344,6
185.70.203.32,0.05556082725524902,6
