dst,rtt,ttl
192.168.0.1,0.1135568618774414,1
192.168.0.1,0.07989811897277832,1
192.168.0.1,0.07993602752685547,1
192.168.0.1,0.06782388687133789,1
192.168.0.1,0.07586812973022461,1
192.168.0.1,0.05989718437194824,1
NA,NA,1
192.168.0.1,0.06393599510192871,1
NA,NA,1
192.168.0.1,0.06392598152160645,1
NA,NA,1
192.168.0.1,0.07987093925476074,1
NA,NA,1
192.168.0.1,0.05993819236755371,1
NA,NA,1
192.168.0.1,0.05603814125061035,1
192.168.0.1,0.05581402778625488,1
NA,NA,1
192.168.0.1,0.06791496276855469,1
NA,NA,1
192.168.0.1,0.05999898910522461,1
NA,NA,1
192.168.0.1,0.059986114501953125,1
NA,NA,1
192.168.0.1,0.059977054595947266,1
NA,NA,1
192.168.0.1,0.08394312858581543,1
NA,NA,1
192.168.0.1,0.09179019927978516,1
NA,NA,1
192.168.0.1,0.1439988613128662,1
192.168.0.1,0.1277179718017578,1
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,2
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
200.89.165.86,0.06793904304504395,5
200.89.165.86,0.08389711380004883,5
200.89.165.86,0.05992722511291504,5
200.89.165.86,0.07588005065917969,5
200.89.165.86,0.08381390571594238,5
200.89.165.86,0.07991409301757812,5
200.89.165.86,0.06386995315551758,5
200.89.165.86,0.07587599754333496,5
200.89.165.86,0.07589221000671387,5
200.89.165.86,0.09193897247314453,5
200.89.165.86,0.09992480278015137,5
200.89.165.86,0.06785988807678223,5
200.89.165.86,0.06790614128112793,5
200.89.165.86,0.07584905624389648,5
200.89.165.86,0.08395099639892578,5
200.89.165.86,0.08775711059570312,5
200.89.165.86,0.06781601905822754,5
200.89.165.86,0.06395483016967773,5
200.89.165.86,0.08362007141113281,5
200.89.165.86,0.07989501953125,5
200.89.165.86,0.06786608695983887,5
200.89.165.86,0.06789684295654297,5
200.89.165.86,0.07594799995422363,5
200.89.165.86,0.0718390941619873,5
200.89.165.86,0.0719289779663086,5
200.89.165.86,0.08385705947875977,5
200.89.165.86,0.07589006423950195,5
200.89.165.86,0.07192420959472656,5
200.89.165.86,0.06778383255004883,5
200.89.165.86,0.07586002349853516,5
200.89.165.86,0.06382584571838379,5
200.89.165.86,0.05989408493041992,5
200.89.165.149,0.06797909736633301,6
200.89.165.149,0.06388998031616211,6
200.89.165.149,0.06786680221557617,6
200.89.165.149,0.06387114524841309,6
200.89.165.149,0.06383395195007324,6
200.89.165.149,0.06378602981567383,6
200.89.165.149,0.07995820045471191,6
200.89.165.149,0.07189798355102539,6
200.89.165.149,0.07185816764831543,6
200.89.165.149,0.08375000953674316,6
200.89.165.149,0.06784796714782715,6
200.89.165.149,0.07188892364501953,6
200.89.165.149,0.08385801315307617,6
200.89.165.149,0.07594704627990723,6
200.89.165.149,0.09989690780639648,6
200.89.165.149,0.1277940273284912,6
200.89.165.149,0.07183599472045898,6
200.89.165.149,0.0918738842010498,6
200.89.165.149,0.07987499237060547,6
200.89.165.149,0.09183907508850098,6
200.89.165.149,0.07187104225158691,6
200.89.165.149,0.07592296600341797,6
200.89.165.149,0.06392502784729004,6
200.89.165.149,0.11993002891540527,6
200.89.165.149,0.1399071216583252,6
200.89.165.149,0.09962010383605957,6
200.89.165.149,0.0638279914855957,6
200.89.165.149,0.07599902153015137,6
200.89.165.149,0.0718240737915039,6
200.89.165.149,0.06789493560791016,6
200.89.165.149,0.07983207702636719,6
200.89.165.149,0.0758371353149414,6
200.89.165.130,0.07197999954223633,7
200.89.165.130,0.06376791000366211,7
200.89.165.130,0.09197807312011719,7
200.89.165.130,0.09164905548095703,7
200.89.165.130,0.09182405471801758,7
200.89.165.130,0.07589316368103027,7
200.89.165.130,0.06391191482543945,7
200.89.165.130,0.059880971908569336,7
200.89.165.130,0.07194900512695312,7
200.89.165.130,0.07180309295654297,7
200.89.165.130,0.06386685371398926,7
200.89.165.130,0.06795287132263184,7
200.89.165.130,0.07183003425598145,7
200.89.165.130,0.0639040470123291,7
200.89.165.130,0.05991101264953613,7
200.89.165.130,0.07185697555541992,7
200.89.165.130,0.06388115882873535,7
200.89.165.130,0.07586979866027832,7
200.89.165.130,0.06786680221557617,7
200.89.165.130,0.08788490295410156,7
200.89.165.130,0.07188296318054199,7
200.89.165.130,0.06790399551391602,7
200.89.165.130,0.07184696197509766,7
200.89.165.130,0.06783008575439453,7
200.89.165.130,0.08389997482299805,7
200.89.165.130,0.07588696479797363,7
200.89.165.130,0.06789898872375488,7
200.89.165.130,0.06786513328552246,7
200.89.165.130,0.06387686729431152,7
200.89.165.130,0.059895992279052734,7
200.89.165.130,0.05993914604187012,7
200.89.165.130,0.07985687255859375,7
200.89.165.222,0.07176995277404785,8
200.89.165.222,0.07588601112365723,8
200.89.165.222,0.07189702987670898,8
200.89.165.222,0.06789803504943848,8
200.89.165.222,0.07994604110717773,8
200.89.165.222,0.06785106658935547,8
200.89.165.222,0.07181906700134277,8
200.89.165.222,0.0878458023071289,8
200.89.165.222,0.07988905906677246,8
200.89.165.222,0.07590484619140625,8
200.89.165.222,0.08786606788635254,8
200.89.165.222,0.08386111259460449,8
200.89.165.222,0.09592604637145996,8
200.89.165.222,0.07584977149963379,8
200.89.165.222,0.08385586738586426,8
200.89.165.222,0.07583904266357422,8
200.89.165.222,0.07181692123413086,8
200.89.165.222,0.06790685653686523,8
200.89.165.222,0.07985401153564453,8
200.89.165.222,0.08788490295410156,8
200.89.165.222,0.07186079025268555,8
200.89.165.222,0.0839071273803711,8
200.89.165.222,0.0717010498046875,8
200.89.165.222,0.07187390327453613,8
200.89.165.222,0.0798790454864502,8
200.89.165.222,0.06389880180358887,8
200.89.165.222,0.06790304183959961,8
200.89.165.222,0.07985591888427734,8
200.89.165.222,0.06787800788879395,8
200.89.165.222,0.07577204704284668,8
200.89.165.222,0.06780481338500977,8
200.89.165.222,0.07990217208862305,8
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
190.216.88.33,0.08388209342956543,9
190.216.88.33,0.06795120239257812,9
190.216.88.33,0.10378003120422363,9
190.216.88.33,0.09991598129272461,9
190.216.88.33,0.08382701873779297,9
190.216.88.33,0.06392097473144531,9
190.216.88.33,0.08780312538146973,9
190.216.88.33,0.08383321762084961,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
190.216.88.33,0.07586193084716797,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
190.216.88.33,0.07191801071166992,9
67.17.94.249,0.1918778419494629,10
67.17.94.249,0.19188308715820312,10
67.17.94.249,0.2120211124420166,10
67.17.94.249,0.19562411308288574,10
67.17.94.249,0.19593501091003418,10
67.17.94.249,0.19988703727722168,10
67.17.94.249,0.1956930160522461,10
67.17.94.249,0.1958930492401123,10
67.17.94.249,0.20779705047607422,10
67.17.94.249,0.18786382675170898,10
67.17.94.249,0.1838541030883789,10
67.17.94.249,0.2078871726989746,10
67.17.94.249,0.19977307319641113,10
67.17.94.249,0.2078690528869629,10
67.17.94.249,0.1998579502105713,10
67.17.94.249,0.20000600814819336,10
67.17.94.249,0.17984700202941895,10
67.17.94.249,0.1838998794555664,10
67.17.94.249,0.18784785270690918,10
67.17.94.249,0.19588994979858398,10
67.17.94.249,0.18775010108947754,10
67.17.94.249,0.19185996055603027,10
67.17.94.249,0.18777108192443848,10
67.17.94.249,0.19598984718322754,10
67.17.94.249,0.19572901725769043,10
67.17.94.249,0.19585895538330078,10
67.17.94.249,0.1840040683746338,10
67.17.94.249,0.18773603439331055,10
67.17.94.249,0.19185900688171387,10
67.17.94.249,0.18387794494628906,10
67.17.94.249,0.18787598609924316,10
67.17.94.249,0.18391108512878418,10
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
213.248.84.80,0.19591307640075684,13
213.248.84.80,0.20392107963562012,13
213.248.84.80,0.19197511672973633,13
