dst,rtt,ttl
192.168.1.1,0.16065716743469238,1
192.168.1.1,0.06354284286499023,1
192.168.1.1,0.06743907928466797,1
192.168.1.1,0.0675809383392334,1
192.168.1.1,0.07944512367248535,1
192.168.1.1,0.0394899845123291,1
NA,NA,1
192.168.1.1,0.051529884338378906,1
NA,NA,1
192.168.1.1,0.06375002861022949,1
NA,NA,1
192.168.1.1,0.07575845718383789,1
NA,NA,1
192.168.1.1,0.07554793357849121,1
NA,NA,1
192.168.1.1,0.05548882484436035,1
192.168.1.1,0.06762456893920898,1
NA,NA,1
192.168.1.1,0.07153964042663574,1
NA,NA,1
192.168.1.1,0.10752463340759277,1
NA,NA,1
192.168.1.1,0.07952022552490234,1
NA,NA,1
192.168.1.1,0.05953693389892578,1
NA,NA,1
192.168.1.1,0.08351612091064453,1
NA,NA,1
192.168.1.1,0.039722442626953125,1
192.168.1.1,0.06784200668334961,1
NA,NA,1
192.168.1.1,0.08749866485595703,1
192.168.0.1,0.051520586013793945,2
192.168.0.1,0.04748415946960449,2
192.168.0.1,0.09962153434753418,2
192.168.0.1,0.06723952293395996,2
192.168.0.1,0.07549238204956055,2
192.168.0.1,0.06753396987915039,2
192.168.0.1,0.0714571475982666,2
192.168.0.1,0.06751561164855957,2
192.168.0.1,0.07952404022216797,2
192.168.0.1,0.0671696662902832,2
192.168.0.1,0.059610843658447266,2
192.168.0.1,0.05540037155151367,2
192.168.0.1,0.07167387008666992,2
192.168.0.1,0.06754088401794434,2
192.168.0.1,0.06747889518737793,2
192.168.0.1,0.06363248825073242,2
192.168.0.1,0.07153892517089844,2
192.168.0.1,0.0594024658203125,2
192.168.0.1,0.07538700103759766,2
192.168.0.1,0.04365658760070801,2
192.168.0.1,0.06399989128112793,2
192.168.0.1,0.06347417831420898,2
192.168.0.1,0.04360198974609375,2
192.168.0.1,0.06751441955566406,2
192.168.0.1,0.07548856735229492,2
192.168.0.1,0.08341312408447266,2
192.168.0.1,0.0756230354309082,2
192.168.0.1,0.0715641975402832,2
192.168.0.1,0.05935549736022949,2
192.168.0.1,0.05551004409790039,2
192.168.0.1,0.05153322219848633,2
192.168.0.1,0.05547833442687988,2
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,4
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
NA,NA,5
200.89.165.222,0.05960536003112793,6
200.89.165.222,0.06782865524291992,6
200.89.165.222,0.06771659851074219,6
200.89.165.222,0.05584549903869629,6
200.89.165.222,0.0637350082397461,6
200.89.165.222,0.06390786170959473,6
200.89.165.222,0.05948972702026367,6
200.89.165.222,0.13952255249023438,6
200.89.165.222,0.0596318244934082,6
200.89.165.222,0.08759856224060059,6
200.89.165.222,0.055481672286987305,6
200.89.165.222,0.07956886291503906,6
200.89.165.222,0.08346915245056152,6
200.89.165.222,0.06346631050109863,6
200.89.165.222,0.0754854679107666,6
200.89.165.222,0.07961559295654297,6
200.89.165.222,0.06359148025512695,6
200.89.165.222,0.05981564521789551,6
200.89.165.222,0.07162928581237793,6
200.89.165.222,0.06749248504638672,6
200.89.165.222,0.0715322494506836,6
200.89.165.222,0.07557344436645508,6
200.89.165.222,0.07149982452392578,6
200.89.165.222,0.08342957496643066,6
200.89.165.222,0.07572364807128906,6
200.89.165.222,0.07546138763427734,6
200.89.165.222,0.07553768157958984,6
200.89.165.222,0.08742403984069824,6
200.89.165.222,0.05955362319946289,6
200.89.165.222,0.04768180847167969,6
200.89.165.222,0.06736993789672852,6
200.89.165.222,0.06761813163757324,6
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
108.170.248.225,0.07576656341552734,8
108.170.248.225,0.06745767593383789,8
108.170.248.225,0.06343960762023926,8
108.170.248.225,0.05945110321044922,8
108.170.248.225,0.06337761878967285,8
108.170.248.225,0.07961416244506836,8
108.170.248.225,0.07140517234802246,8
108.170.248.225,0.08387351036071777,8
108.170.248.225,0.05965709686279297,8
108.170.248.225,0.055733442306518555,8
108.170.248.225,0.055647850036621094,8
108.170.248.225,0.05934739112854004,8
108.170.248.225,0.06366181373596191,8
108.170.248.225,0.059400320053100586,8
108.170.248.225,0.06326913833618164,8
108.170.248.225,0.047881126403808594,8
108.170.248.225,0.06384468078613281,8
108.170.248.225,0.07977175712585449,8
108.170.248.225,0.09574484825134277,8
108.170.248.225,0.06344437599182129,8
108.170.248.225,0.0634927749633789,8
108.170.248.225,0.0673820972442627,8
108.170.248.225,0.06742453575134277,8
108.170.248.225,0.06343817710876465,8
108.170.248.225,0.06745576858520508,8
108.170.248.225,0.06737446784973145,8
108.170.248.225,0.0636134147644043,8
108.170.248.225,0.0477294921875,8
108.170.248.225,0.05171465873718262,8
108.170.248.225,0.06804871559143066,8
108.170.248.225,0.07945013046264648,8
108.170.248.225,0.055466651916503906,8
216.239.58.195,0.047437191009521484,9
216.239.58.195,0.04767298698425293,9
216.239.58.195,0.059534549713134766,9
216.239.58.195,0.06359648704528809,9
216.239.58.195,0.06354904174804688,9
216.239.58.195,0.06732058525085449,9
216.239.58.195,0.05957794189453125,9
216.239.58.195,0.0796058177947998,9
216.239.58.195,0.05143904685974121,9
216.239.58.195,0.07164835929870605,9
216.239.58.195,0.05958700180053711,9
216.239.58.195,0.0714414119720459,9
216.239.58.195,0.07946419715881348,9
216.239.58.195,0.0795450210571289,9
216.239.58.195,0.10353565216064453,9
216.239.58.195,0.04372358322143555,9
216.239.58.195,0.04793381690979004,9
216.239.58.195,0.0716702938079834,9
216.239.58.195,0.07150769233703613,9
216.239.58.195,0.05564308166503906,9
216.239.58.195,0.05971980094909668,9
216.239.58.195,0.08749675750732422,9
216.239.58.195,0.06753134727478027,9
216.239.58.195,0.07546329498291016,9
216.239.58.195,0.059458255767822266,9
216.239.58.195,0.07146883010864258,9
216.239.58.195,0.07140159606933594,9
216.239.58.195,0.07963848114013672,9
216.239.58.195,0.06381487846374512,9
216.239.58.195,0.047974586486816406,9
216.239.58.195,0.0675661563873291,9
216.239.58.195,0.0754234790802002,9
