dst,rtt,ttl
192.168.0.1,0.12337684631347656,1
192.168.0.1,0.049495697021484375,1
192.168.0.1,0.05845761299133301,1
192.168.0.1,0.07412838935852051,1
192.168.0.1,0.05475163459777832,1
192.168.0.1,0.062224626541137695,1
NA,NA,1
192.168.0.1,0.09242010116577148,1
NA,NA,1
192.168.0.1,0.06668543815612793,1
NA,NA,1
192.168.0.1,0.06649637222290039,1
NA,NA,1
192.168.0.1,0.06261897087097168,1
NA,NA,1
192.168.0.1,0.05425286293029785,1
192.168.0.1,0.0823981761932373,1
NA,NA,1
192.168.0.1,0.07101726531982422,1
NA,NA,1
192.168.0.1,0.06843400001525879,1
NA,NA,1
192.168.0.1,0.09149599075317383,1
NA,NA,1
192.168.0.1,0.0810699462890625,1
NA,NA,1
192.168.0.1,0.05669569969177246,1
192.168.0.1,0.07038021087646484,1
192.168.0.1,0.05092310905456543,1
192.168.0.1,0.060323238372802734,1
192.168.0.1,0.045992374420166016,1
192.168.0.1,0.05868220329284668,1
10.0.0.2,0.03745007514953613,2
10.0.0.2,0.05523514747619629,2
10.0.0.2,0.08081579208374023,2
10.0.0.2,0.06647062301635742,2
10.0.0.2,0.046355247497558594,2
10.0.0.2,0.05895113945007324,2
10.0.0.2,0.04676485061645508,2
10.0.0.2,0.05062079429626465,2
10.0.0.2,0.05318617820739746,2
10.0.0.2,0.046518564224243164,2
10.0.0.2,0.04630255699157715,2
10.0.0.2,0.06240367889404297,2
10.0.0.2,0.062421321868896484,2
10.0.0.2,0.05385112762451172,2
10.0.0.2,0.07432055473327637,2
10.0.0.2,0.06627106666564941,2
10.0.0.2,0.04263591766357422,2
10.0.0.2,0.04671525955200195,2
10.0.0.2,0.042148590087890625,2
10.0.0.2,0.05112481117248535,2
10.0.0.2,0.05455303192138672,2
10.0.0.2,0.06196880340576172,2
10.0.0.2,0.05172610282897949,2
10.0.0.2,0.04610490798950195,2
10.0.0.2,0.05889582633972168,2
10.0.0.2,0.06520843505859375,2
10.0.0.2,0.056488037109375,2
10.0.0.2,0.06074953079223633,2
10.0.0.2,0.05047440528869629,2
10.0.0.2,0.05836772918701172,2
10.0.0.2,0.06305909156799316,2
10.0.0.2,0.07594013214111328,2
181.88.172.60,0.06250190734863281,3
181.88.172.60,0.0968785285949707,3
181.88.172.60,0.06641030311584473,3
181.88.172.60,0.0784306526184082,3
181.88.172.60,0.0744009017944336,3
181.88.172.60,0.06245684623718262,3
181.88.172.60,0.07425165176391602,3
181.88.172.60,0.07041549682617188,3
181.88.172.60,0.0721445083618164,3
181.88.172.60,0.07477426528930664,3
