dst,rtt,ttl
192.168.0.1,0.10661959648132324,1
192.168.0.1,0.05532360076904297,1
192.168.0.1,0.05843520164489746,1
192.168.0.1,0.0527036190032959,1
192.168.0.1,0.04257059097290039,1
192.168.0.1,0.05450272560119629,1
NA,NA,1
192.168.0.1,0.05042243003845215,1
NA,NA,1
192.168.0.1,0.058458566665649414,1
NA,NA,1
192.168.0.1,0.06637740135192871,1
NA,NA,1
192.168.0.1,0.06262373924255371,1
NA,NA,1
192.168.0.1,0.05871939659118652,1
NA,NA,1
192.168.0.1,0.06287550926208496,1
192.168.0.1,0.042172908782958984,1
NA,NA,1
192.168.0.1,0.06276798248291016,1
NA,NA,1
192.168.0.1,0.10223770141601562,1
NA,NA,1
192.168.0.1,0.06674766540527344,1
NA,NA,1
192.168.0.1,0.1445460319519043,1
NA,NA,1
192.168.0.1,0.08444070816040039,1
NA,NA,1
192.168.0.1,0.14205527305603027,1
192.168.0.1,0.04226875305175781,1
10.0.0.2,0.05038714408874512,2
10.0.0.2,0.066162109375,2
10.0.0.2,0.04686141014099121,2
10.0.0.2,0.05826544761657715,2
10.0.0.2,0.05018162727355957,2
10.0.0.2,0.06230306625366211,2
10.0.0.2,0.06228351593017578,2
10.0.0.2,0.05081748962402344,2
10.0.0.2,0.05292534828186035,2
10.0.0.2,0.07494139671325684,2
10.0.0.2,0.05426311492919922,2
10.0.0.2,0.050156593322753906,2
10.0.0.2,0.04211235046386719,2
10.0.0.2,0.054409027099609375,2
10.0.0.2,0.046098947525024414,2
10.0.0.2,0.05021071434020996,2
10.0.0.2,0.047132253646850586,2
10.0.0.2,0.046442270278930664,2
10.0.0.2,0.06971621513366699,2
10.0.0.2,0.04638504981994629,2
10.0.0.2,0.05752897262573242,2
10.0.0.2,0.062334537506103516,2
10.0.0.2,0.06217813491821289,2
10.0.0.2,0.05762124061584473,2
10.0.0.2,0.05422186851501465,2
10.0.0.2,0.050292015075683594,2
10.0.0.2,0.05429244041442871,2
10.0.0.2,0.05025625228881836,2
10.0.0.2,0.05871152877807617,2
10.0.0.2,0.05819201469421387,2
10.0.0.2,0.06264472007751465,2
10.0.0.2,0.05525922775268555,2
181.88.172.60,0.09270668029785156,3
181.88.172.60,0.06229448318481445,3
181.88.172.60,0.05847477912902832,3
181.88.172.60,0.07468628883361816,3
181.88.172.60,0.07433938980102539,3
181.88.172.60,0.06627464294433594,3
181.88.172.60,0.058156728744506836,3
181.88.172.60,0.07418012619018555,3
181.88.172.60,0.06226992607116699,3
181.88.172.60,0.06218290328979492,3
181.88.172.60,0.08639645576477051,3
181.88.172.60,0.07425332069396973,3
181.88.172.60,0.06619381904602051,3
181.88.172.60,0.07038593292236328,3
181.88.172.60,0.05831122398376465,3
181.88.172.60,0.09013032913208008,3
181.88.172.60,0.07318806648254395,3
181.88.172.60,0.07441949844360352,3
181.88.172.60,0.06623482704162598,3
181.88.172.60,0.07840752601623535,3
NA,NA,3
181.88.172.60,0.12219405174255371,3
181.88.172.60,0.07031393051147461,3
181.88.172.60,0.08209967613220215,3
181.88.172.60,0.06634354591369629,3
181.88.172.60,0.08227252960205078,3
181.88.172.60,0.07017111778259277,3
181.88.172.60,0.07063984870910645,3
181.88.172.60,0.07401204109191895,3
181.88.172.60,0.06634092330932617,3
181.88.172.60,0.07410359382629395,3
181.88.172.60,0.07099533081054688,3
181.89.5.92,0.07030844688415527,4
181.89.5.92,0.07086992263793945,4
181.89.5.92,0.07441544532775879,4
181.89.5.92,0.06642508506774902,4
181.89.5.92,0.0703284740447998,4
181.89.5.92,0.06226205825805664,4
181.89.5.92,0.0983116626739502,4
181.89.5.92,0.06224679946899414,4
181.89.5.92,0.06625175476074219,4
181.89.5.92,0.07834124565124512,4
181.89.5.92,0.10088992118835449,4
181.89.5.92,0.11012792587280273,4
181.89.5.92,0.09833550453186035,4
181.89.5.92,0.09820270538330078,4
181.89.5.92,0.1183311939239502,4
181.89.5.92,0.1219172477722168,4
181.89.5.92,0.09432220458984375,4
181.89.5.92,0.11433243751525879,4
181.89.5.92,0.09805750846862793,4
181.89.5.92,0.08199715614318848,4
181.89.5.92,0.06246352195739746,4
181.89.5.92,0.062244415283203125,4
181.89.5.92,0.07828283309936523,4
181.89.5.92,0.07032132148742676,4
181.89.5.92,0.07833504676818848,4
181.89.5.92,0.06617283821105957,4
181.89.5.92,0.0623166561126709,4
181.89.5.92,0.07424759864807129,4
181.89.5.92,0.07824277877807617,4
181.89.5.92,0.07424712181091309,4
181.89.5.92,0.07422971725463867,4
181.89.5.92,0.1022787094116211,4
190.224.165.114,0.09424352645874023,5
190.224.165.114,0.07436347007751465,5
190.224.165.114,0.07016825675964355,5
190.224.165.114,0.08655548095703125,5
190.224.165.114,0.06628251075744629,5
190.224.165.114,0.07375168800354004,5
190.224.165.114,0.07831406593322754,5
190.224.165.114,0.07832646369934082,5
190.224.165.114,0.07031464576721191,5
190.224.165.114,0.062227725982666016,5
190.224.165.114,0.07061910629272461,5
190.224.165.114,0.061592817306518555,5
190.224.165.114,0.0738534927368164,5
190.224.165.114,0.08620095252990723,5
190.224.165.114,0.06212592124938965,5
190.224.165.114,0.08200693130493164,5
190.224.165.114,0.06612825393676758,5
190.224.165.114,0.07449507713317871,5
190.224.165.114,0.08421754837036133,5
190.224.165.114,0.0701603889465332,5
190.224.165.114,0.0784003734588623,5
190.224.165.114,0.0702965259552002,5
190.224.165.114,0.08221817016601562,5
190.224.165.114,0.07408785820007324,5
190.224.165.114,0.07024860382080078,5
190.224.165.114,0.08323359489440918,5
190.224.165.114,0.07017970085144043,5
190.224.165.114,0.07436966896057129,5
190.224.165.114,0.07431578636169434,5
190.224.165.114,0.06625056266784668,5
190.224.165.114,0.08651089668273926,5
190.224.165.114,0.07754731178283691,5
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,6
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,7
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,8
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,9
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,10
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
146.97.35.193,0.4904029369354248,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
146.97.35.193,0.5303459167480469,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,11
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
NA,NA,12
