dst,rtt,ttl
192.168.1.1,0.12834739685058594,1
192.168.1.1,0.05555295944213867,1
192.168.1.1,0.06774139404296875,1
192.168.1.1,0.05123734474182129,1
192.168.1.1,0.07211589813232422,1
192.168.1.1,0.06745123863220215,1
NA,NA,1
192.168.1.1,0.0595855712890625,1
NA,NA,1
192.168.1.1,0.07514834403991699,1
NA,NA,1
192.168.1.1,0.08363962173461914,1
NA,NA,1
192.168.1.1,0.06430602073669434,1
NA,NA,1
192.168.1.1,0.07181262969970703,1
192.168.1.1,0.07944464683532715,1
NA,NA,1
192.168.1.1,0.0560765266418457,1
NA,NA,1
192.168.1.1,0.07158780097961426,1
NA,NA,1
192.168.1.1,0.08767509460449219,1
NA,NA,1
192.168.1.1,0.08356070518493652,1
NA,NA,1
192.168.1.1,0.0716092586517334,1
NA,NA,1
192.168.1.1,0.06781792640686035,1
192.168.1.1,0.10336184501647949,1
NA,NA,1
192.168.1.1,0.12369132041931152,1
192.168.0.1,0.19951772689819336,2
192.168.0.1,0.08356189727783203,2
192.168.0.1,0.2794961929321289,2
192.168.0.1,0.06746912002563477,2
192.168.0.1,0.07154965400695801,2
192.168.0.1,0.0760347843170166,2
192.168.0.1,0.07593417167663574,2
192.168.0.1,0.04718446731567383,2
192.168.0.1,0.06765151023864746,2
192.168.0.1,0.07169461250305176,2
192.168.0.1,0.07965207099914551,2
192.168.0.1,0.07140517234802246,2
192.168.0.1,0.07558512687683105,2
192.168.0.1,0.059471845626831055,2
192.168.0.1,0.06007194519042969,2
192.168.0.1,0.07561206817626953,2
192.168.0.1,0.06377434730529785,2
192.168.0.1,0.07133054733276367,2
192.168.0.1,0.07950019836425781,2
192.168.0.1,0.06802558898925781,2
192.168.0.1,0.09156441688537598,2
192.168.0.1,0.06371641159057617,2
192.168.0.1,0.0671687126159668,2
192.168.0.1,0.05595850944519043,2
192.168.0.1,0.06329607963562012,2
192.168.0.1,0.06412076950073242,2
192.168.0.1,0.04759621620178223,2
192.168.0.1,0.09140563011169434,2
192.168.0.1,0.05960988998413086,2
192.168.0.1,0.04786348342895508,2
192.168.0.1,0.04407787322998047,2
192.168.0.1,0.05971646308898926,2
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
NA,NA,3
